,Solar,startTime,totalRenewable,total,percentRenewable
0,0.0,202001010000,0.0,7164.0,0
1,0.0,202001010100,0.0,7152.0,0
2,0.0,202001010200,0.0,6040.0,0
3,0.0,202001010300,0.0,6031.0,0
4,0.0,202001010400,0.0,6034.0,0
5,0.0,202001010500,0.0,6066.0,0
6,0.0,202001010600,0.0,6050.0,0
7,38.0,202001010700,38.0,6163.0,1
8,214.0,202001010800,214.0,7350.0,3
9,424.0,202001010900,424.0,7544.0,6
10,568.0,202001011000,568.0,7681.0,7
11,665.0,202001011100,665.0,7770.0,9
12,748.0,202001011200,748.0,7841.0,10
13,450.0,202001011300,450.0,7549.0,6
14,107.0,202001011400,107.0,7206.0,1
15,0.0,202001011500,0.0,7369.0,0
16,0.0,202001011600,0.0,7397.0,0
17,0.0,202001011700,0.0,7387.0,0
18,0.0,202001011800,0.0,7385.0,0
19,0.0,202001011900,0.0,7276.0,0
20,0.0,202001012000,0.0,7257.0,0
21,0.0,202001012100,0.0,7210.0,0
22,0.0,202001012200,0.0,7133.0,0
23,0.0,202001012300,0.0,6750.0,0
24,0.0,202001020000,0.0,6167.0,0
25,0.0,202001020100,0.0,6115.0,0
26,0.0,202001020200,0.0,6124.0,0
27,0.0,202001020300,0.0,6166.0,0
28,0.0,202001020400,0.0,6525.0,0
29,0.0,202001020500,0.0,7745.0,0
30,0.0,202001020600,0.0,8343.0,0
31,64.0,202001020700,64.0,8740.0,1
32,298.0,202001020800,298.0,9151.0,3
33,587.0,202001020900,587.0,9269.0,6
34,790.0,202001021000,790.0,9428.0,8
35,838.0,202001021100,838.0,9533.0,9
36,674.0,202001021200,674.0,9463.0,7
37,363.0,202001021300,363.0,9114.0,4
38,95.0,202001021400,95.0,8943.0,1
39,0.0,202001021500,0.0,8932.0,0
40,0.0,202001021600,0.0,8940.0,0
41,0.0,202001021700,0.0,8809.0,0
42,0.0,202001021800,0.0,8863.0,0
43,0.0,202001021900,0.0,8718.0,0
44,0.0,202001022000,0.0,8381.0,0
45,0.0,202001022100,0.0,7996.0,0
46,0.0,202001022200,0.0,7801.0,0
47,0.0,202001022300,0.0,6475.0,0
48,0.0,202001030000,0.0,6473.0,0
49,0.0,202001030100,0.0,6453.0,0
50,0.0,202001030200,0.0,6443.0,0
51,0.0,202001030300,0.0,6500.0,0
52,0.0,202001030400,0.0,7006.0,0
53,0.0,202001030500,0.0,7842.0,0
54,0.0,202001030600,0.0,8173.0,0
55,33.0,202001030700,33.0,8520.0,0
56,164.0,202001030800,164.0,8911.0,2
57,345.0,202001030900,345.0,8998.0,4
58,468.0,202001031000,468.0,9102.0,5
59,485.0,202001031100,485.0,9241.0,5
60,349.0,202001031200,349.0,9441.0,4
61,125.0,202001031300,125.0,9366.0,1
62,33.0,202001031400,33.0,9365.0,0
63,0.0,202001031500,0.0,9579.0,0
64,0.0,202001031600,0.0,9770.0,0
65,0.0,202001031700,0.0,9469.0,0
66,0.0,202001031800,0.0,9594.0,0
67,0.0,202001031900,0.0,9458.0,0
68,0.0,202001032000,0.0,9475.0,0
69,0.0,202001032100,0.0,8925.0,0
70,0.0,202001032200,0.0,8446.0,0
71,0.0,202001032300,0.0,7473.0,0
72,0.0,202001040000,0.0,7206.0,0
73,0.0,202001040100,0.0,6423.0,0
74,0.0,202001040200,0.0,6163.0,0
75,0.0,202001040300,0.0,6236.0,0
76,0.0,202001040400,0.0,6153.0,0
77,0.0,202001040500,0.0,6358.0,0
78,0.0,202001040600,0.0,7295.0,0
79,25.0,202001040700,25.0,7853.0,0
80,116.0,202001040800,116.0,7955.0,1
81,224.0,202001040900,224.0,8463.0,3
82,281.0,202001041000,281.0,8625.0,3
83,264.0,202001041100,264.0,8526.0,3
84,150.0,202001041200,150.0,8520.0,2
85,48.0,202001041300,48.0,8435.0,1
86,10.0,202001041400,10.0,8415.0,0
87,0.0,202001041500,0.0,8448.0,0
88,0.0,202001041600,0.0,8542.0,0
89,0.0,202001041700,0.0,8352.0,0
90,0.0,202001041800,0.0,8154.0,0
91,0.0,202001041900,0.0,7916.0,0
92,0.0,202001042000,0.0,7910.0,0
93,0.0,202001042100,0.0,8098.0,0
94,0.0,202001042200,0.0,7927.0,0
95,0.0,202001042300,0.0,7637.0,0
96,0.0,202001050000,0.0,7674.0,0
97,0.0,202001050100,0.0,7423.0,0
98,0.0,202001050200,0.0,6915.0,0
99,0.0,202001050300,0.0,6690.0,0
100,0.0,202001050400,0.0,6993.0,0
101,0.0,202001050500,0.0,7567.0,0
102,0.0,202001050600,0.0,7963.0,0
103,47.0,202001050700,47.0,8262.0,1
104,242.0,202001050800,242.0,8979.0,3
105,484.0,202001050900,484.0,9646.0,5
106,642.0,202001051000,642.0,10018.0,6
107,724.0,202001051100,724.0,9889.0,7
