group_id,Solar,Wind Offshore,Wind Onshore,totalRenewable,startTime,total,percentRenewable
0,0.0,1038.0,5859.0,6897.0,202001010000,41544.0,17
1,0.0,1492.25,5987.25,7479.5,202001010100,41059.0,18
2,0.0,1893.75,6058.75,7952.5,202001010200,41126.0,19
3,0.0,2091.75,5973.25,8065.0,202001010300,40897.0,20
4,0.0,2109.5,5659.0,7768.5,202001010400,40829.0,19
5,0.0,2033.5,5423.0,7456.5,202001010500,40737.0,18
6,0.0,2005.0,5240.25,7245.25,202001010600,41525.0,17
7,328.75,2109.0,5118.25,7556.0,202001010700,43590.0,17
8,2703.25,2270.0,5011.5,9984.75,202001010800,48727.0,20
9,5784.25,2496.5,4731.25,13012.0,202001010900,53531.0,24
10,8050.0,2820.0,4320.0,15190.0,202001011000,57675.0,26
11,8945.5,3155.25,3991.75,16092.5,202001011100,59797.0,27
12,8175.75,3397.0,3945.5,15518.25,202001011200,58040.0,27
13,5655.75,3550.5,4292.5,13498.75,202001011300,53572.0,25
14,2147.5,3705.75,4816.5,10669.75,202001011400,49264.0,22
15,97.75,3863.75,5622.0,9583.5,202001011500,47603.0,20
16,0.0,4018.75,6695.25,10714.0,202001011600,52375.0,20
17,0.0,4135.5,7761.5,11897.0,202001011700,55386.0,21
18,0.0,4108.25,8551.25,12659.5,202001011800,56619.0,22
19,0.0,4012.75,8805.5,12818.25,202001011900,55785.0,23
20,0.0,3997.25,8740.25,12737.5,202001012000,53043.0,24
21,0.0,4140.5,8528.5,12669.0,202001012100,51800.0,24
22,0.0,4403.25,8379.0,12782.25,202001012200,50514.0,25
23,0.0,4101.25,7172.25,11273.5,202001012300,47884.0,24
24,0.0,4363.75,7020.0,11383.75,202001020000,46876.0,24
25,0.0,4615.5,7164.5,11780.0,202001020100,46407.0,25
26,0.0,4762.5,7311.5,12074.0,202001020200,46111.0,26
27,0.0,4852.75,7580.0,12432.75,202001020300,45093.0,28
28,0.0,4947.0,7995.5,12942.5,202001020400,47745.0,27
29,0.0,5101.5,8565.0,13666.5,202001020500,51094.0,27
30,0.0,5353.25,9079.75,14433.0,202001020600,57217.0,25
31,391.25,5563.75,9535.25,15490.25,202001020700,61420.0,25
32,2876.25,5735.75,9847.25,18459.25,202001020800,65111.0,28
33,5741.25,5884.75,9674.0,21300.0,202001020900,68173.0,31
34,7681.0,5982.75,9287.5,22951.25,202001021000,69112.0,33
35,8206.75,6052.0,9091.75,23350.5,202001021100,69199.0,34
36,7237.0,6121.5,9192.0,22550.5,202001021200,68023.0,33
37,4883.5,6165.75,9855.75,20905.0,202001021300,65069.0,32
38,1825.75,6201.25,11091.5,19118.5,202001021400,62133.0,31
39,83.25,6267.0,12814.0,19164.25,202001021500,62026.0,31
40,0.0,6312.75,14790.5,21103.25,202001021600,66213.0,32
41,0.0,6346.75,16687.25,23034.0,202001021700,68668.0,34
42,0.0,6365.5,18198.25,24563.75,202001021800,69408.0,35
43,0.0,6413.25,19421.0,25834.25,202001021900,67729.0,38
44,0.0,6451.0,20518.5,26969.5,202001022000,66806.0,40
45,0.0,6483.0,21274.5,27757.5,202001022100,65786.0,42
46,0.0,6455.75,22175.5,28631.25,202001022200,62422.0,46
47,0.0,6520.25,21802.5,28322.75,202001022300,60291.0,47
48,0.0,6536.5,22811.25,29347.75,202001030000,60414.0,49
49,0.0,6546.0,23684.25,30230.25,202001030100,60526.0,50
50,0.0,6556.5,24459.75,31016.25,202001030200,61208.0,51
51,0.0,6562.5,25152.75,31715.25,202001030300,62688.0,51
52,0.0,6570.75,25690.75,32261.5,202001030400,64015.0,50
53,0.0,6532.0,26454.0,32986.0,202001030500,67983.0,49
54,0.0,6472.5,26982.25,33454.75,202001030600,73964.0,45
55,230.0,6293.0,27405.0,33928.0,202001030700,77396.0,44
56,1513.25,5997.25,27739.75,35250.25,202001030800,78458.0,45
57,3035.5,5494.0,27927.75,36457.25,202001030900,79434.0,46
58,4017.75,4893.75,27893.75,36805.25,202001031000,80423.0,46
59,4029.5,4556.5,27609.75,36195.75,202001031100,80912.0,45
60,3219.25,4740.0,27007.75,34967.0,202001031200,78934.0,44
61,1957.5,4969.5,26602.75,33529.75,202001031300,76831.0,44
62,721.5,5187.25,26627.0,32535.75,202001031400,75730.0,43
63,42.5,5440.25,26566.0,32048.75,202001031500,76749.0,42
64,0.0,5501.75,26093.25,31595.0,202001031600,77804.0,41
65,0.0,5517.0,25615.5,31132.5,202001031700,78275.0,40
66,0.0,5624.25,24925.5,30549.75,202001031800,76398.0,40
67,0.0,5896.5,24003.25,29899.75,202001031900,71556.0,42
68,0.0,6137.5,23518.5,29656.0,202001032000,68190.0,43
69,0.0,6327.5,23414.0,29741.5,202001032100,66144.0,45
70,0.0,6441.75,23673.5,30115.25,202001032200,63465.0,47
71,0.0,6450.75,23089.5,29540.25,202001032300,61440.0,48
72,0.0,6489.5,22769.5,29259.0,202001040000,60501.0,48
73,0.0,6504.5,22915.75,29420.25,202001040100,59986.0,49
74,0.0,6509.25,23263.25,29772.5,202001040200,59765.0,50
