,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,0.0,2993.0,202001010000,2993.0,69356.0,4
1,0.0,2857.0,202001010100,2857.0,66587.0,4
2,0.0,2721.0,202001010200,2721.0,64222.0,4
3,0.0,2584.0,202001010300,2584.0,61993.0,4
4,0.0,2343.0,202001010400,2343.0,61067.0,4
5,0.0,2103.0,202001010500,2103.0,60835.0,3
6,0.0,1862.0,202001010600,1862.0,60677.0,3
7,0.0,1718.0,202001010700,1718.0,61068.0,3
8,190.0,1575.0,202001010800,1765.0,61960.0,3
9,1079.0,1432.0,202001010900,2511.0,62678.0,4
10,2041.0,1394.0,202001011000,3435.0,63588.0,5
11,2653.0,1356.0,202001011100,4009.0,64662.0,6
12,2811.0,1318.0,202001011200,4129.0,64239.0,6
13,2475.0,1285.0,202001011300,3760.0,63640.0,6
14,1694.0,1251.0,202001011400,2945.0,65147.0,5
15,658.0,1217.0,202001011500,1875.0,68223.0,3
16,35.0,1294.0,202001011600,1329.0,70394.0,2
17,0.0,1372.0,202001011700,1372.0,71802.0,2
18,0.0,1449.0,202001011800,1449.0,72544.0,2
19,0.0,1511.0,202001011900,1511.0,71953.0,2
20,0.0,1573.0,202001012000,1573.0,71274.0,2
21,0.0,1635.0,202001012100,1635.0,71063.0,2
22,0.0,1690.0,202001012200,1690.0,68416.0,2
23,0.0,1639.0,202001012300,1639.0,66001.0,2
24,0.0,1658.0,202001020000,1658.0,63608.0,3
25,0.0,1733.0,202001020100,1733.0,62398.0,3
26,0.0,1808.0,202001020200,1808.0,61740.0,3
27,0.0,1883.0,202001020300,1883.0,61848.0,3
28,0.0,1959.0,202001020400,1959.0,62551.0,3
29,0.0,2035.0,202001020500,2035.0,66880.0,3
30,0.0,2110.0,202001020600,2110.0,71154.0,3
31,0.0,2284.0,202001020700,2284.0,72588.0,3
32,161.0,2459.0,202001020800,2620.0,74475.0,4
33,922.0,2634.0,202001020900,3556.0,75712.0,5
34,1900.0,2857.0,202001021000,4757.0,75829.0,6
35,2462.0,3079.0,202001021100,5541.0,76197.0,7
36,2672.0,3302.0,202001021200,5974.0,75868.0,8
37,2454.0,3582.0,202001021300,6036.0,75150.0,8
38,1710.0,3862.0,202001021400,5572.0,74851.0,7
39,689.0,4141.0,202001021500,4830.0,74888.0,6
40,43.0,4497.0,202001021600,4540.0,76745.0,6
41,0.0,4854.0,202001021700,4854.0,78103.0,6
42,0.0,5210.0,202001021800,5210.0,78025.0,7
43,0.0,5288.0,202001021900,5288.0,76370.0,7
44,0.0,5367.0,202001022000,5367.0,73838.0,7
45,0.0,5446.0,202001022100,5446.0,72693.0,7
46,0.0,5490.0,202001022200,5490.0,71523.0,8
