,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,0.0,340.0,202001010000,340.0,3474.0,10
1,0.0,330.0,202001010100,330.0,3187.0,10
2,0.0,330.0,202001010200,330.0,2979.0,11
3,0.0,340.0,202001010300,340.0,2895.0,12
4,0.0,400.0,202001010400,400.0,2891.0,14
5,0.0,490.0,202001010500,490.0,2965.0,17
6,148.0,560.0,202001010600,708.0,3130.0,23
7,533.0,620.0,202001010700,1153.0,3576.0,32
8,880.0,680.0,202001010800,1560.0,3905.0,40
9,1062.0,770.0,202001010900,1832.0,4157.0,44
10,1112.0,920.0,202001011000,2032.0,4172.0,49
11,1060.0,1110.0,202001011100,2170.0,3904.0,56
12,882.0,1300.0,202001011200,2182.0,3737.0,58
13,550.0,1370.0,202001011300,1920.0,3826.0,50
14,168.0,1420.0,202001011400,1588.0,4155.0,38
15,1.0,1520.0,202001011500,1521.0,4524.0,34
16,0.0,1630.0,202001011600,1630.0,5152.0,32
17,0.0,1700.0,202001011700,1700.0,5266.0,32
18,0.0,1730.0,202001011800,1730.0,5304.0,33
19,0.0,1750.0,202001011900,1750.0,4995.0,35
20,0.0,1770.0,202001012000,1770.0,4484.0,39
21,0.0,1780.0,202001012100,1780.0,4251.0,42
22,0.0,1560.0,202001012200,1560.0,3924.0,40
23,0.0,1560.0,202001012300,1560.0,3748.0,42
24,0.0,1570.0,202001020000,1570.0,3717.0,42
25,0.0,1590.0,202001020100,1590.0,3650.0,44
26,0.0,1590.0,202001020200,1590.0,3616.0,44
27,0.0,1600.0,202001020300,1600.0,3598.0,44
28,0.0,1610.0,202001020400,1610.0,3591.0,45
29,0.0,1610.0,202001020500,1610.0,3540.0,45
30,178.0,1600.0,202001020600,1778.0,3949.0,45
31,649.0,1610.0,202001020700,2259.0,4087.0,55
32,1070.0,1670.0,202001020800,2740.0,4094.0,67
33,1288.0,1690.0,202001020900,2978.0,4085.0,73
34,1354.0,1690.0,202001021000,3044.0,4249.0,72
35,1304.0,1670.0,202001021100,2974.0,4202.0,71
36,1098.0,1630.0,202001021200,2728.0,4104.0,66
37,704.0,1580.0,202001021300,2284.0,4518.0,51
38,226.0,1530.0,202001021400,1756.0,5138.0,34
39,3.0,1500.0,202001021500,1503.0,5558.0,27
40,0.0,1480.0,202001021600,1480.0,6078.0,24
41,0.0,1460.0,202001021700,1460.0,6140.0,24
42,0.0,1460.0,202001021800,1460.0,6085.0,24
43,0.0,1420.0,202001021900,1420.0,5744.0,25
44,0.0,1390.0,202001022000,1390.0,5039.0,28
45,0.0,1370.0,202001022100,1370.0,4676.0,29
46,0.0,1490.0,202001022200,1490.0,3992.0,37
47,0.0,1480.0,202001022300,1480.0,3584.0,41
48,0.0,1480.0,202001030000,1480.0,3614.0,41
49,0.0,1460.0,202001030100,1460.0,3553.0,41
50,0.0,1450.0,202001030200,1450.0,3513.0,41
51,0.0,1410.0,202001030300,1410.0,3465.0,41
52,0.0,1370.0,202001030400,1370.0,3701.0,37
53,0.0,1320.0,202001030500,1320.0,4235.0,31
54,181.0,1260.0,202001030600,1441.0,4869.0,30
55,659.0,1180.0,202001030700,1839.0,5070.0,36
56,1096.0,1110.0,202001030800,2206.0,4833.0,46
57,1326.0,1060.0,202001030900,2386.0,4656.0,51
58,1395.0,1000.0,202001031000,2395.0,4612.0,52
59,1339.0,960.0,202001031100,2299.0,4599.0,50
60,1121.0,900.0,202001031200,2021.0,4567.0,44
61,715.0,840.0,202001031300,1555.0,5055.0,31
62,231.0,760.0,202001031400,991.0,5488.0,18
63,3.0,700.0,202001031500,703.0,5989.0,12
64,0.0,660.0,202001031600,660.0,6563.0,10
65,0.0,630.0,202001031700,630.0,6632.0,9
66,0.0,610.0,202001031800,610.0,6400.0,10
67,0.0,570.0,202001031900,570.0,5890.0,10
68,0.0,540.0,202001032000,540.0,5238.0,10
69,0.0,500.0,202001032100,500.0,4709.0,11
70,0.0,590.0,202001032200,590.0,3788.0,16
71,0.0,550.0,202001032300,550.0,3329.0,17
72,0.0,500.0,202001040000,500.0,3276.0,15
73,0.0,460.0,202001040100,460.0,3227.0,14
74,0.0,430.0,202001040200,430.0,3194.0,13
75,0.0,400.0,202001040300,400.0,3148.0,13
76,0.0,360.0,202001040400,360.0,3145.0,11
77,0.0,330.0,202001040500,330.0,3377.0,10
78,195.0,290.0,202001040600,485.0,3803.0,13
79,709.0,270.0,202001040700,979.0,4068.0,24
80,1168.0,260.0,202001040800,1428.0,4008.0,36
81,1406.0,250.0,202001040900,1656.0,3875.0,43
82,1470.0,260.0,202001041000,1730.0,3949.0,44
83,1408.0,270.0,202001041100,1678.0,3966.0,42
84,1179.0,290.0,202001041200,1469.0,3904.0,38
85,752.0,290.0,202001041300,1042.0,4354.0,24
86,244.0,320.0,202001041400,564.0,4985.0,11
87,4.0,360.0,202001041500,364.0,5545.0,7
88,0.0,390.0,202001041600,390.0,6037.0,6
89,0.0,410.0,202001041700,410.0,5988.0,7
90,0.0,420.0,202001041800,420.0,5730.0,7
91,0.0,420.0,202001041900,420.0,5101.0,8
92,0.0,440.0,202001042000,440.0,4606.0,10
93,0.0,480.0,202001042100,480.0,4211.0,11
94,0.0,420.0,202001042200,420.0,3685.0,11
95,0.0,440.0,202001042300,440.0,3199.0,14
96,0.0,480.0,202001050000,480.0,3089.0,16
97,0.0,530.0,202001050100,530.0,2875.0,18
98,0.0,580.0,202001050200,580.0,2697.0,22
99,0.0,620.0,202001050300,620.0,2678.0,23
100,0.0,650.0,202001050400,650.0,2838.0,23
101,0.0,710.0,202001050500,710.0,3045.0,23
102,119.0,780.0,202001050600,899.0,3372.0,27
103,366.0,850.0,202001050700,1216.0,3743.0,32
104,538.0,940.0,202001050800,1478.0,4095.0,36
105,612.0,1070.0,202001050900,1682.0,4397.0,38
106,618.0,1220.0,202001051000,1838.0,4511.0,41
107,576.0,1340.0,202001051100,1916.0,4525.0,42
108,500.0,1430.0,202001051200,1930.0,4207.0,46
109,346.0,1490.0,202001051300,1836.0,4513.0,41
110,135.0,1550.0,202001051400,1685.0,4792.0,35
111,2.0,1630.0,202001051500,1632.0,5149.0,32
112,0.0,1730.0,202001051600,1730.0,5783.0,30
113,0.0,1800.0,202001051700,1800.0,5873.0,31
114,0.0,1880.0,202001051800,1880.0,5831.0,32
115,0.0,1920.0,202001051900,1920.0,5487.0,35
116,0.0,1940.0,202001052000,1940.0,5008.0,39
117,0.0,1940.0,202001052100,1940.0,4705.0,41
118,0.0,1960.0,202001052200,1960.0,3997.0,49
119,0.0,1950.0,202001052300,1950.0,3656.0,53
120,0.0,1940.0,202001060000,1940.0,3642.0,53
121,0.0,1920.0,202001060100,1920.0,3615.0,53
122,0.0,1920.0,202001060200,1920.0,3615.0,53
123,0.0,1910.0,202001060300,1910.0,3612.0,53
124,0.0,1900.0,202001060400,1900.0,3660.0,52
125,0.0,1890.0,202001060500,1890.0,3631.0,52
126,132.0,1870.0,202001060600,2002.0,3842.0,52
127,464.0,1860.0,202001060700,2324.0,4080.0,57
128,771.0,1850.0,202001060800,2621.0,4348.0,60
129,941.0,1850.0,202001060900,2791.0,4622.0,60
130,994.0,1830.0,202001061000,2824.0,4796.0,59
