,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS,Wind_per,Solar_per,Nuclear_per,Hydroelectricity_per,Geothermal_per,Natural Gas_per,Petroleum_per,Coal_per
0,60.0,65.0,0.0,74.0,18.0,202001010000,202001010100,78.0,18.0,139.0,217.0,36,8,8,0,0,0,0,29,0,0
1,60.0,65.0,0.0,73.0,17.0,202001010100,202001010200,77.0,17.0,138.0,215.0,36,8,7,0,0,0,0,30,0,0
2,60.0,66.0,3.0,73.0,18.0,202001010200,202001010300,81.0,18.0,139.0,220.0,37,8,8,0,0,1,0,30,0,0
3,60.0,65.0,107.0,73.0,18.0,202001010300,202001010400,185.0,18.0,138.0,323.0,57,6,5,0,0,33,0,20,0,0
4,60.0,65.0,219.0,73.0,23.0,202001010400,202001010500,302.0,23.0,138.0,440.0,69,5,5,0,0,49,0,14,0,0
5,59.0,66.0,501.0,73.0,17.0,202001010500,202001010600,577.0,17.0,139.0,716.0,81,2,2,0,0,69,0,9,0,0
6,59.0,66.0,705.0,73.0,18.0,202001010600,202001010700,782.0,18.0,139.0,921.0,85,2,1,0,0,76,0,7,0,0
7,59.0,66.0,725.0,73.0,19.0,202001010700,202001010800,803.0,19.0,139.0,942.0,85,2,2,0,0,76,0,7,0,0
8,59.0,66.0,776.0,73.0,23.0,202001010800,202001010900,858.0,23.0,139.0,997.0,86,2,2,0,0,77,0,6,0,0
9,59.0,66.0,863.0,73.0,27.0,202001010900,202001011000,949.0,27.0,139.0,1088.0,87,2,2,0,0,79,0,6,0,0
10,59.0,66.0,862.0,73.0,19.0,202001011000,202001011100,940.0,19.0,139.0,1079.0,87,2,1,0,0,79,0,6,0,0
11,59.0,66.0,862.0,73.0,21.0,202001011100,202001011200,942.0,21.0,139.0,1081.0,87,2,1,0,0,79,0,6,0,0
12,59.0,66.0,838.0,73.0,21.0,202001011200,202001011300,918.0,21.0,139.0,1057.0,87,2,1,0,0,79,0,6,0,0
13,59.0,66.0,857.0,73.0,20.0,202001011300,202001011400,936.0,20.0,139.0,1075.0,87,2,1,0,0,79,0,6,0,0
14,59.0,66.0,846.0,73.0,22.0,202001011400,202001011500,927.0,22.0,139.0,1066.0,87,2,2,0,0,79,0,6,0,0
15,59.0,66.0,846.0,73.0,22.0,202001011500,202001011600,927.0,22.0,139.0,1066.0,87,2,2,0,0,79,0,6,0,0
16,60.0,66.0,846.0,73.0,24.0,202001011600,202001011700,930.0,24.0,139.0,1069.0,87,2,2,0,0,79,0,6,0,0
17,60.0,65.0,846.0,73.0,25.0,202001011700,202001011800,931.0,25.0,138.0,1069.0,87,2,2,0,0,79,0,6,0,0
18,60.0,65.0,846.0,73.0,25.0,202001011800,202001011900,931.0,25.0,138.0,1069.0,87,2,2,0,0,79,0,6,0,0
19,60.0,65.0,798.0,74.0,23.0,202001011900,202001012000,881.0,23.0,139.0,1020.0,86,2,2,0,0,78,0,6,0,0
20,60.0,65.0,514.0,74.0,20.0,202001012000,202001012100,594.0,20.0,139.0,733.0,81,3,2,0,0,70,0,8,0,0
21,60.0,65.0,15.0,74.0,29.0,202001012100,202001012200,104.0,29.0,139.0,243.0,43,12,11,0,0,6,0,26,0,0
22,60.0,65.0,58.0,74.0,29.0,202001012200,202001012300,147.0,29.0,139.0,286.0,51,10,10,0,0,20,0,22,0,0
23,60.0,65.0,0.0,74.0,33.0,202001012300,202001020000,93.0,33.0,139.0,232.0,40,14,14,0,0,0,0,28,0,0
24,60.0,64.0,0.0,74.0,35.0,202001020000,202001020100,95.0,35.0,138.0,233.0,41,15,15,0,0,0,0,27,0,0
25,60.0,64.0,0.0,73.0,30.0,202001020100,202001020200,90.0,30.0,137.0,227.0,40,13,13,0,0,0,0,28,0,0
26,60.0,65.0,0.0,73.0,25.0,202001020200,202001020300,85.0,25.0,138.0,223.0,38,11,11,0,0,0,0,29,0,0
27,59.0,64.0,5.0,73.0,22.0,202001020300,202001020400,86.0,22.0,137.0,223.0,39,10,9,0,0,2,0,28,0,0
28,59.0,65.0,196.0,73.0,24.0,202001020400,202001020500,279.0,24.0,138.0,417.0,67,6,5,0,0,47,0,15,0,0
29,59.0,65.0,425.0,73.0,29.0,202001020500,202001020600,513.0,29.0,138.0,651.0,79,4,4,0,0,65,0,9,0,0
30,59.0,65.0,760.0,73.0,28.0,202001020600,202001020700,847.0,28.0,138.0,985.0,86,3,2,0,0,77,0,6,0,0
31,59.0,65.0,841.0,73.0,31.0,202001020700,202001020800,931.0,31.0,138.0,1069.0,87,3,2,0,0,78,0,6,0,0
32,59.0,65.0,844.0,73.0,33.0,202001020800,202001020900,936.0,33.0,138.0,1074.0,87,3,3,0,0,78,0,6,0,0
33,59.0,65.0,844.0,73.0,36.0,202001020900,202001021000,939.0,36.0,138.0,1077.0,87,3,3,0,0,78,0,6,0,0
34,59.0,74.0,844.0,73.0,37.0,202001021000,202001021100,940.0,37.0,147.0,1087.0,86,3,3,0,0,77,0,6,0,0
35,59.0,95.0,805.0,73.0,38.0,202001021100,202001021200,902.0,38.0,168.0,1070.0,84,4,3,0,0,75,0,8,0,0
36,59.0,95.0,759.0,73.0,35.0,202001021200,202001021300,853.0,35.0,168.0,1021.0,84,3,3,0,0,74,0,9,0,0
37,61.0,95.0,751.0,75.0,33.0,202001021300,202001021400,845.0,33.0,170.0,1015.0,83,3,3,0,0,73,0,9,0,0
38,61.0,95.0,773.0,74.0,34.0,202001021400,202001021500,868.0,34.0,169.0,1037.0,84,3,3,0,0,74,0,9,0,0
39,61.0,95.0,877.0,75.0,31.0,202001021500,202001021600,969.0,31.0,170.0,1139.0,85,3,2,0,0,76,0,8,0,0
40,61.0,95.0,821.0,75.0,40.0,202001021600,202001021700,922.0,40.0,170.0,1092.0,84,4,3,0,0,75,0,8,0,0
41,61.0,95.0,812.0,75.0,41.0,202001021700,202001021800,914.0,41.0,170.0,1084.0,84,4,3,0,0,74,0,8,0,0
42,62.0,92.0,811.0,75.0,41.0,202001021800,202001021900,914.0,41.0,167.0,1081.0,85,4,3,0,0,75,0,8,0,0
43,62.0,66.0,743.0,75.0,45.0,202001021900,202001022000,850.0,45.0,141.0,991.0,86,5,4,0,0,74,0,6,0,0
44,62.0,66.0,726.0,75.0,44.0,202001022000,202001022100,832.0,44.0,141.0,973.0,86,5,4,0,0,74,0,6,0,0
45,62.0,66.0,609.0,76.0,44.0,202001022100,202001022200,715.0,44.0,142.0,857.0,83,5,5,0,0,71,0,7,0,0
46,62.0,66.0,226.0,75.0,44.0,202001022200,202001022300,332.0,44.0,141.0,473.0,70,9,9,0,0,47,0,13,0,0
47,62.0,65.0,119.0,75.0,44.0,202001022300,202001030000,225.0,44.0,140.0,365.0,62,12,12,0,0,32,0,17,0,0
48,62.0,65.0,126.0,75.0,46.0,202001030000,202001030100,234.0,46.0,140.0,374.0,63,12,12,0,0,33,0,17,0,0
49,61.0,65.0,0.0,75.0,48.0,202001030100,202001030200,109.0,48.0,140.0,249.0,44,19,19,0,0,0,0,26,0,0
50,61.0,65.0,0.0,75.0,47.0,202001030200,202001030300,108.0,47.0,140.0,248.0,44,19,18,0,0,0,0,26,0,0
51,62.0,65.0,5.0,76.0,48.0,202001030300,202001030400,115.0,48.0,141.0,256.0,45,19,18,0,0,1,0,25,0,0
52,61.0,65.0,313.0,75.0,49.0,202001030400,202001030500,423.0,49.0,140.0,563.0,75,9,8,0,0,55,0,11,0,0
53,61.0,66.0,391.0,74.0,49.0,202001030500,202001030600,501.0,49.0,140.0,641.0,78,8,7,0,0,60,0,10,0,0
54,61.0,66.0,849.0,74.0,50.0,202001030600,202001030700,960.0,50.0,140.0,1100.0,87,5,4,0,0,77,0,6,0,0
55,61.0,66.0,832.0,75.0,49.0,202001030700,202001030800,942.0,49.0,141.0,1083.0,87,5,4,0,0,76,0,6,0,0
56,61.0,66.0,920.0,75.0,49.0,202001030800,202001030900,1030.0,49.0,141.0,1171.0,88,4,4,0,0,78,0,5,0,0
57,61.0,65.0,938.0,75.0,50.0,202001030900,202001031000,1049.0,50.0,140.0,1189.0,88,4,4,0,0,78,0,5,0,0
58,61.0,65.0,938.0,75.0,50.0,202001031000,202001031100,1049.0,50.0,140.0,1189.0,88,4,4,0,0,78,0,5,0,0
59,61.0,66.0,939.0,75.0,51.0,202001031100,202001031200,1051.0,51.0,141.0,1192.0,88,4,4,0,0,78,0,5,0,0
60,61.0,65.0,938.0,75.0,50.0,202001031200,202001031300,1049.0,50.0,140.0,1189.0,88,4,4,0,0,78,0,5,0,0
61,62.0,50.0,948.0,75.0,51.0,202001031300,202001031400,1061.0,51.0,125.0,1186.0,89,4,4,0,0,79,0,4,0,0
62,62.0,50.0,954.0,75.0,51.0,202001031400,202001031500,1067.0,51.0,125.0,1192.0,90,4,4,0,0,80,0,4,0,0
63,62.0,50.0,952.0,76.0,51.0,202001031500,202001031600,1065.0,51.0,126.0,1191.0,89,4,4,0,0,79,0,4,0,0
64,62.0,50.0,948.0,76.0,48.0,202001031600,202001031700,1058.0,48.0,126.0,1184.0,89,4,4,0,0,80,0,4,0,0
65,62.0,49.0,848.0,76.0,41.0,202001031700,202001031800,951.0,41.0,125.0,1076.0,88,4,3,0,0,78,0,4,0,0
66,62.0,49.0,847.0,76.0,36.0,202001031800,202001031900,945.0,36.0,125.0,1070.0,88,3,3,0,0,79,0,4,0,0
67,63.0,49.0,859.0,76.0,23.0,202001031900,202001032000,945.0,23.0,125.0,1070.0,88,2,2,0,0,80,0,4,0,0
68,62.0,49.0,751.0,71.0,15.0,202001032000,202001032100,828.0,15.0,120.0,948.0,87,2,1,0,0,79,0,5,0,0
69,67.0,49.0,742.0,76.0,13.0,202001032100,202001032200,822.0,13.0,125.0,947.0,87,1,1,0,0,78,0,5,0,0
70,67.0,49.0,398.0,76.0,20.0,202001032200,202001032300,485.0,20.0,125.0,610.0,80,3,3,0,0,65,0,8,0,0
71,67.0,49.0,221.0,76.0,19.0,202001032300,202001040000,307.0,19.0,125.0,432.0,71,4,4,0,0,51,0,11,0,0
72,67.0,49.0,62.0,76.0,28.0,202001040000,202001040100,157.0,28.0,125.0,282.0,56,10,9,0,0,21,0,17,0,0
73,67.0,49.0,18.0,75.0,36.0,202001040100,202001040200,121.0,36.0,124.0,245.0,49,15,14,0,0,7,0,20,0,0
74,67.0,49.0,20.0,75.0,40.0,202001040200,202001040300,127.0,40.0,124.0,251.0,51,16,15,0,0,7,0,19,0,0
75,67.0,49.0,67.0,76.0,46.0,202001040300,202001040400,180.0,46.0,125.0,305.0,59,15,15,0,0,21,0,16,0,0
76,66.0,49.0,116.0,75.0,50.0,202001040400,202001040500,232.0,50.0,124.0,356.0,65,14,14,0,0,32,0,13,0,0
77,66.0,49.0,156.0,75.0,51.0,202001040500,202001040600,273.0,51.0,124.0,397.0,69,13,12,0,0,39,0,12,0,0
78,66.0,49.0,513.0,75.0,45.0,202001040600,202001040700,624.0,45.0,124.0,748.0,83,6,6,0,0,68,0,6,0,0
