,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,14.0,202001010000,14.0,220.0,6
1,19.0,202001010100,19.0,217.0,9
2,20.0,202001010200,20.0,218.0,9
3,17.0,202001010300,17.0,323.0,5
4,17.0,202001010400,17.0,430.0,4
5,18.0,202001010500,18.0,712.0,3
6,16.0,202001010600,16.0,926.0,2
7,27.0,202001010700,27.0,993.0,3
8,23.0,202001010800,23.0,992.0,2
9,23.0,202001010900,23.0,1086.0,2
10,24.0,202001011000,24.0,1092.0,2
11,23.0,202001011100,23.0,1090.0,2
12,23.0,202001011200,23.0,1090.0,2
13,23.0,202001011300,23.0,1091.0,2
14,23.0,202001011400,23.0,1090.0,2
15,23.0,202001011500,23.0,1083.0,2
16,26.0,202001011600,26.0,1088.0,2
17,29.0,202001011700,29.0,1091.0,3
18,30.0,202001011800,30.0,1093.0,3
19,32.0,202001011900,32.0,1040.0,3
20,33.0,202001012000,33.0,752.0,4
21,39.0,202001012100,39.0,242.0,16
22,39.0,202001012200,39.0,233.0,17
23,41.0,202001012300,41.0,232.0,18
24,34.0,202001020000,34.0,228.0,15
25,26.0,202001020100,26.0,219.0,12
26,25.0,202001020200,25.0,218.0,11
27,25.0,202001020300,25.0,217.0,12
28,23.0,202001020400,23.0,429.0,5
29,24.0,202001020500,24.0,700.0,3
30,24.0,202001020600,24.0,1016.0,2
31,26.0,202001020700,26.0,1074.0,2
32,29.0,202001020800,29.0,1077.0,3
33,26.0,202001020900,26.0,1074.0,2
34,29.0,202001021000,29.0,1077.0,3
35,30.0,202001021100,30.0,1072.0,3
36,33.0,202001021200,33.0,1076.0,3
37,31.0,202001021300,31.0,1073.0,3
38,31.0,202001021400,31.0,1075.0,3
39,31.0,202001021500,31.0,1147.0,3
40,32.0,202001021600,32.0,1077.0,3
41,33.0,202001021700,33.0,1079.0,3
42,34.0,202001021800,34.0,1079.0,3
43,38.0,202001021900,38.0,1034.0,4
44,36.0,202001022000,36.0,850.0,4
45,38.0,202001022100,38.0,672.0,6
46,41.0,202001022200,41.0,456.0,9
47,46.0,202001022300,46.0,366.0,13
48,46.0,202001030000,46.0,366.0,13
49,46.0,202001030100,46.0,247.0,19
50,46.0,202001030200,46.0,247.0,19
51,49.0,202001030300,49.0,250.0,20
52,49.0,202001030400,49.0,554.0,9
53,49.0,202001030500,49.0,644.0,8
54,50.0,202001030600,50.0,1127.0,4
55,50.0,202001030700,50.0,1110.0,5
56,51.0,202001030800,51.0,1111.0,5
57,51.0,202001030900,51.0,1125.0,5
58,51.0,202001031000,51.0,1125.0,5
59,51.0,202001031100,51.0,1125.0,5
60,51.0,202001031200,51.0,1107.0,5
61,50.0,202001031300,50.0,1106.0,5
62,51.0,202001031400,51.0,1107.0,5
63,50.0,202001031500,50.0,1178.0,4
64,50.0,202001031600,50.0,1149.0,4
65,49.0,202001031700,49.0,1110.0,4
66,49.0,202001031800,49.0,1110.0,4
67,40.0,202001031900,40.0,1120.0,4
68,26.0,202001032000,26.0,854.0,3
69,14.0,202001032100,14.0,751.0,2
70,13.0,202001032200,13.0,623.0,2
71,36.0,202001032300,36.0,394.0,9
72,38.0,202001040000,38.0,238.0,16
73,45.0,202001040100,45.0,245.0,18
74,48.0,202001040200,48.0,247.0,19
75,48.0,202001040300,48.0,297.0,16
76,50.0,202001040400,50.0,349.0,14
77,51.0,202001040500,51.0,400.0,13
78,51.0,202001040600,51.0,762.0,7
79,51.0,202001040700,51.0,998.0,5
80,51.0,202001040800,51.0,998.0,5
81,49.0,202001040900,49.0,1087.0,5
82,46.0,202001041000,46.0,1084.0,4
83,46.0,202001041100,46.0,1089.0,4
84,44.0,202001041200,44.0,1105.0,4
85,41.0,202001041300,41.0,1102.0,4
86,36.0,202001041400,36.0,1148.0,3
87,36.0,202001041500,36.0,1158.0,3
88,40.0,202001041600,40.0,1163.0,3
89,41.0,202001041700,41.0,1164.0,4
90,42.0,202001041800,42.0,1137.0,4
91,35.0,202001041900,35.0,1040.0,3
92,40.0,202001042000,40.0,865.0,5
93,43.0,202001042100,43.0,776.0,6
94,47.0,202001042200,47.0,707.0,7
95,46.0,202001042300,46.0,236.0,19
96,48.0,202001050000,48.0,237.0,20
97,46.0,202001050100,46.0,236.0,19
98,48.0,202001050200,48.0,238.0,20
99,48.0,202001050300,48.0,338.0,14
100,48.0,202001050400,48.0,819.0,6
101,43.0,202001050500,43.0,814.0,5
102,43.0,202001050600,43.0,889.0,5
103,46.0,202001050700,46.0,1176.0,4
104,41.0,202001050800,41.0,1171.0,4
105,35.0,202001050900,35.0,1165.0,3
106,30.0,202001051000,30.0,1160.0,3
107,23.0,202001051100,23.0,1154.0,2
108,18.0,202001051200,18.0,1149.0,2
109,12.0,202001051300,12.0,1144.0,1
110,6.0,202001051400,6.0,1138.0,1
111,5.0,202001051500,5.0,1141.0,0
112,4.0,202001051600,4.0,1137.0,0
113,5.0,202001051700,5.0,1123.0,0
114,9.0,202001051800,9.0,1127.0,1
115,9.0,202001051900,9.0,1091.0,1
116,12.0,202001052000,12.0,932.0,1
117,21.0,202001052100,21.0,509.0,4
118,35.0,202001052200,35.0,512.0,7
119,41.0,202001052300,41.0,250.0,16
120,44.0,202001060000,44.0,249.0,18
121,44.0,202001060100,44.0,249.0,18
122,44.0,202001060200,44.0,248.0,18
123,41.0,202001060300,41.0,353.0,12
124,34.0,202001060400,34.0,542.0,6
125,28.0,202001060500,28.0,852.0,3
126,18.0,202001060600,18.0,916.0,2
127,12.0,202001060700,12.0,1054.0,1
128,12.0,202001060800,12.0,1141.0,1
129,12.0,202001060900,12.0,1141.0,1
130,9.0,202001061000,9.0,1138.0,1
131,8.0,202001061100,8.0,1137.0,1
132,8.0,202001061200,8.0,1137.0,1
133,7.0,202001061300,7.0,1136.0,1
134,6.0,202001061400,6.0,1135.0,1
135,7.0,202001061500,7.0,1140.0,1
136,6.0,202001061600,6.0,1120.0,1
137,6.0,202001061700,6.0,1120.0,1
138,5.0,202001061800,5.0,1119.0,0
139,6.0,202001061900,6.0,1085.0,1
140,5.0,202001062000,5.0,830.0,1
141,7.0,202001062100,7.0,741.0,1
142,7.0,202001062200,7.0,465.0,2
143,7.0,202001062300,7.0,212.0,3
144,6.0,202001070000,6.0,211.0,3
145,6.0,202001070100,6.0,208.0,3
146,6.0,202001070200,6.0,208.0,3
147,7.0,202001070300,7.0,460.0,2
148,6.0,202001070400,6.0,608.0,1
149,6.0,202001070500,6.0,751.0,1
150,9.0,202001070600,9.0,894.0,1
151,8.0,202001070700,8.0,979.0,1
152,9.0,202001070800,9.0,980.0,1
153,8.0,202001070900,8.0,903.0,1
154,9.0,202001071000,9.0,904.0,1
155,13.0,202001071100,13.0,908.0,1
156,14.0,202001071200,14.0,901.0,2
157,12.0,202001071300,12.0,992.0,1
158,10.0,202001071400,10.0,988.0,1
159,14.0,202001071500,14.0,990.0,1
160,19.0,202001071600,19.0,854.0,2
161,25.0,202001071700,25.0,790.0,3
162,24.0,202001071800,24.0,788.0,3
163,28.0,202001071900,28.0,790.0,4
164,26.0,202001072000,26.0,698.0,4
165,24.0,202001072100,24.0,439.0,5
166,28.0,202001072200,28.0,404.0,7
167,36.0,202001072300,36.0,230.0,16
168,36.0,202001080000,36.0,231.0,16
169,35.0,202001080100,35.0,230.0,15
170,38.0,202001080200,38.0,232.0,16
171,40.0,202001080300,40.0,233.0,17
172,43.0,202001080400,43.0,438.0,10
173,45.0,202001080500,45.0,606.0,7
174,46.0,202001080600,46.0,873.0,5
175,46.0,202001080700,46.0,1013.0,5
176,47.0,202001080800,47.0,1016.0,5
177,47.0,202001080900,47.0,1016.0,5
178,47.0,202001081000,47.0,1016.0,5
179,47.0,202001081100,47.0,1022.0,5
180,46.0,202001081200,46.0,1022.0,5
181,47.0,202001081300,47.0,1023.0,5
182,46.0,202001081400,46.0,1021.0,5
183,46.0,202001081500,46.0,1021.0,5
184,46.0,202001081600,46.0,1106.0,4
185,43.0,202001081700,43.0,1151.0,4
186,44.0,202001081800,44.0,1093.0,4
187,44.0,202001081900,44.0,1007.0,4
188,42.0,202001082000,42.0,912.0,5
189,38.0,202001082100,38.0,578.0,7
190,35.0,202001082200,35.0,400.0,9
191,34.0,202001082300,34.0,237.0,14
192,33.0,202001090000,33.0,234.0,14
193,32.0,202001090100,32.0,247.0,13
194,30.0,202001090200,30.0,246.0,12
195,30.0,202001090300,30.0,356.0,8
196,30.0,202001090400,30.0,592.0,5
197,29.0,202001090500,29.0,1125.0,3
198,26.0,202001090600,26.0,1288.0,2
199,21.0,202001090700,21.0,1272.0,2
200,20.0,202001090800,20.0,1223.0,2
