,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,,24.0,202001202300,24.0,434.0,6
1,,23.0,202001210000,23.0,369.0,6
2,,22.0,202001210100,22.0,376.0,6
3,,20.0,202001210200,20.0,383.0,5
4,,20.0,202001210300,20.0,391.0,5
5,,20.0,202001210400,20.0,394.0,5
6,,20.0,202001210500,20.0,398.0,5
7,,20.0,202001210600,20.0,558.0,4
8,,19.0,202001210700,19.0,604.0,3
9,,18.0,202001210800,18.0,614.0,3
10,,16.0,202001210900,16.0,607.0,3
11,,13.0,202001211000,13.0,605.0,2
12,,11.0,202001211100,11.0,606.0,2
13,,10.0,202001211200,10.0,608.0,2
14,,11.0,202001211300,11.0,610.0,2
15,,12.0,202001211400,12.0,610.0,2
16,,13.0,202001211500,13.0,609.0,2
17,,17.0,202001211600,17.0,613.0,3
18,,20.0,202001211700,20.0,616.0,3
19,,21.0,202001211800,21.0,535.0,4
20,,21.0,202001211900,21.0,501.0,4
21,,21.0,202001212000,21.0,492.0,4
22,,21.0,202001212100,21.0,486.0,4
23,,21.0,202001212200,21.0,475.0,4
24,0.0,37.0,202001212300,37.0,445.0,8
25,0.0,37.0,202001220000,37.0,420.0,9
26,0.0,37.0,202001220100,37.0,401.0,9
27,0.0,37.0,202001220200,37.0,391.0,9
28,0.0,37.0,202001220300,37.0,390.0,9
29,0.0,37.0,202001220400,37.0,406.0,9
30,0.0,37.0,202001220500,37.0,423.0,9
31,0.0,37.0,202001220600,37.0,586.0,6
32,0.0,37.0,202001220700,37.0,633.0,6
33,0.0,37.0,202001220800,37.0,653.0,6
34,0.0,37.0,202001220900,37.0,656.0,6
35,0.0,37.0,202001221000,37.0,657.0,6
36,0.0,37.0,202001221100,37.0,647.0,6
37,0.0,37.0,202001221200,37.0,641.0,6
38,0.0,37.0,202001221300,37.0,642.0,6
39,0.0,37.0,202001221400,37.0,668.0,6
40,0.0,37.0,202001221500,37.0,687.0,5
41,0.0,37.0,202001221600,37.0,693.0,5
42,0.0,37.0,202001221700,37.0,691.0,5
43,0.0,37.0,202001221800,37.0,559.0,7
44,0.0,37.0,202001221900,37.0,551.0,7
45,0.0,37.0,202001222000,37.0,536.0,7
46,0.0,37.0,202001222100,37.0,526.0,7
47,0.0,37.0,202001222200,37.0,351.0,11
48,,29.0,202001222300,29.0,351.0,8
49,,36.0,202001230000,36.0,351.0,10
50,,43.0,202001230100,43.0,352.0,12
51,,48.0,202001230200,48.0,352.0,14
52,,51.0,202001230300,51.0,348.0,15
53,,52.0,202001230400,52.0,419.0,12
54,,52.0,202001230500,52.0,573.0,9
55,,52.0,202001230600,52.0,741.0,7
56,,53.0,202001230700,53.0,741.0,7
57,,54.0,202001230800,54.0,738.0,7
58,,53.0,202001230900,53.0,737.0,7
59,,50.0,202001231000,50.0,736.0,7
60,,45.0,202001231100,45.0,734.0,6
61,,39.0,202001231200,39.0,731.0,5
62,,33.0,202001231300,33.0,727.0,5
63,,31.0,202001231400,31.0,725.0,4
64,,32.0,202001231500,32.0,724.0,4
65,,34.0,202001231600,34.0,722.0,5
66,,37.0,202001231700,37.0,721.0,5
67,,37.0,202001231800,37.0,720.0,5
68,,33.0,202001231900,33.0,669.0,5
69,,30.0,202001232000,30.0,618.0,5
70,,26.0,202001232100,26.0,520.0,5
71,,25.0,202001232200,25.0,321.0,8
72,0.0,37.0,202001232300,37.0,321.0,12
73,0.0,37.0,202001240000,37.0,320.0,12
74,0.0,37.0,202001240100,37.0,320.0,12
75,0.0,37.0,202001240200,37.0,320.0,12
76,0.0,37.0,202001240300,37.0,322.0,11
77,0.0,37.0,202001240400,37.0,323.0,11
78,0.0,37.0,202001240500,37.0,324.0,11
79,0.0,37.0,202001240600,37.0,434.0,9
80,0.0,37.0,202001240700,37.0,432.0,9
81,0.0,37.0,202001240800,37.0,429.0,9
82,0.0,37.0,202001240900,37.0,428.0,9
83,0.0,37.0,202001241000,37.0,427.0,9
84,0.0,37.0,202001241100,37.0,428.0,9
85,0.0,37.0,202001241200,37.0,479.0,8
86,0.0,37.0,202001241300,37.0,640.0,6
87,0.0,37.0,202001241400,37.0,692.0,5
88,0.0,37.0,202001241500,37.0,696.0,5
89,0.0,37.0,202001241600,37.0,700.0,5
90,0.0,37.0,202001241700,37.0,703.0,5
91,0.0,37.0,202001241800,37.0,707.0,5
92,0.0,37.0,202001241900,37.0,587.0,6
93,0.0,37.0,202001242000,37.0,510.0,7
94,0.0,37.0,202001242100,37.0,468.0,8
95,0.0,37.0,202001242200,37.0,347.0,11
96,,22.0,202001242300,22.0,353.0,6
97,,22.0,202001250000,22.0,365.0,6
98,,25.0,202001250100,25.0,381.0,7
99,,28.0,202001250200,28.0,394.0,7
100,,29.0,202001250300,29.0,404.0,7
