,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,34.0,202001010000,34.0,600.0,6
1,35.0,202001010100,35.0,527.0,7
2,35.0,202001010200,35.0,472.0,7
3,35.0,202001010300,35.0,453.0,8
4,34.0,202001010400,34.0,461.0,7
5,35.0,202001010500,35.0,486.0,7
6,35.0,202001010600,35.0,483.0,7
7,35.0,202001010700,35.0,507.0,7
8,35.0,202001010800,35.0,565.0,6
9,36.0,202001010900,36.0,583.0,6
10,36.0,202001011000,36.0,589.0,6
11,36.0,202001011100,36.0,588.0,6
12,36.0,202001011200,36.0,589.0,6
13,35.0,202001011300,35.0,640.0,5
14,35.0,202001011400,35.0,656.0,5
15,36.0,202001011500,36.0,658.0,5
16,36.0,202001011600,36.0,665.0,5
17,35.0,202001011700,35.0,648.0,5
18,36.0,202001011800,36.0,642.0,6
19,36.0,202001011900,36.0,628.0,6
20,36.0,202001012000,36.0,623.0,6
21,36.0,202001012100,36.0,697.0,5
22,36.0,202001012200,36.0,700.0,5
23,36.0,202001012300,36.0,644.0,6
24,36.0,202001020000,36.0,563.0,6
25,35.0,202001020100,35.0,499.0,7
26,35.0,202001020200,35.0,461.0,8
27,35.0,202001020300,35.0,449.0,8
28,35.0,202001020400,35.0,458.0,8
29,34.0,202001020500,34.0,481.0,7
30,34.0,202001020600,34.0,478.0,7
31,35.0,202001020700,35.0,502.0,7
32,36.0,202001020800,36.0,562.0,6
33,36.0,202001020900,36.0,576.0,6
34,36.0,202001021000,36.0,583.0,6
35,36.0,202001021100,36.0,590.0,6
36,36.0,202001021200,36.0,604.0,6
37,36.0,202001021300,36.0,727.0,5
38,36.0,202001021400,36.0,730.0,5
39,34.0,202001021500,34.0,674.0,5
40,33.0,202001021600,33.0,662.0,5
41,34.0,202001021700,34.0,647.0,5
42,34.0,202001021800,34.0,636.0,5
43,34.0,202001021900,34.0,621.0,5
44,34.0,202001022000,34.0,617.0,6
45,34.0,202001022100,34.0,728.0,5
