group_id,Solar,Wind Offshore,Wind Onshore,totalRenewable,startTime,total,percentRenewable
0,0.0,165.75,178.0,343.75,202001010000,7320.0,5
1,0.0,158.25,179.25,337.5,202001010100,7165.0,5
2,0.0,166.25,192.0,358.25,202001010200,7039.0,5
3,0.0,168.0,212.25,380.25,202001010300,7235.0,5
4,0.0,166.0,234.0,400.0,202001010400,7923.0,5
5,0.0,161.0,243.25,404.25,202001010500,8698.0,5
6,0.0,159.5,260.5,420.0,202001010600,9218.0,5
7,94.0,158.0,277.5,529.5,202001010700,9828.0,5
8,341.0,143.25,269.0,753.25,202001010800,10139.0,7
9,528.25,117.5,228.75,874.5,202001010900,10361.0,8
10,591.5,107.25,192.0,890.75,202001011000,10352.0,9
11,567.5,100.5,179.5,847.5,202001011100,10573.0,8
12,452.25,107.25,199.5,759.0,202001011200,10632.0,7
13,266.75,120.25,219.75,606.75,202001011300,10688.0,6
14,93.75,135.5,245.75,475.0,202001011400,10860.0,4
15,14.25,155.0,290.25,459.5,202001011500,10862.0,4
16,0.0,195.0,353.25,548.25,202001011600,10989.0,5
17,0.0,244.0,415.5,659.5,202001011700,11240.0,6
18,0.0,263.5,434.75,698.25,202001011800,11117.0,6
19,0.0,266.5,466.25,732.75,202001011900,10679.0,7
20,0.0,271.25,489.75,761.0,202001012000,10215.0,7
21,0.0,264.25,498.25,762.5,202001012100,9960.0,8
22,0.0,237.25,485.0,722.25,202001012200,9547.0,8
23,0.0,242.5,388.75,631.25,202001012300,8721.0,7
24,0.0,249.75,385.75,635.5,202001020000,8487.0,7
25,0.0,277.0,423.75,700.75,202001020100,8258.0,8
26,0.0,318.0,487.5,805.5,202001020200,8086.0,10
27,0.0,365.0,532.25,897.25,202001020300,8096.0,11
28,0.0,400.75,573.0,973.75,202001020400,8036.0,12
29,0.0,435.5,636.0,1071.5,202001020500,8458.0,13
30,0.0,468.5,663.5,1132.0,202001020600,9309.0,12
31,35.5,494.5,678.25,1208.25,202001020700,9906.0,12
32,138.25,514.25,721.5,1374.0,202001020800,10134.0,14
33,247.25,540.75,809.5,1597.5,202001020900,10503.0,15
34,307.5,550.5,888.25,1746.25,202001021000,10739.0,16
35,295.75,562.75,957.25,1815.75,202001021100,10732.0,17
36,226.5,600.0,1057.75,1884.25,202001021200,10759.0,18
37,134.75,641.0,1172.0,1947.75,202001021300,10866.0,18
38,56.0,689.75,1289.5,2035.25,202001021400,10974.0,19
39,11.75,746.25,1468.25,2226.25,202001021500,10968.0,20
40,0.0,781.5,1663.25,2444.75,202001021600,11041.0,22
41,0.0,792.25,1835.75,2628.0,202001021700,11098.0,24
42,0.0,795.0,1964.0,2759.0,202001021800,10919.0,25
43,0.0,793.25,2080.0,2873.25,202001021900,10498.0,27
44,0.0,792.25,2172.25,2964.5,202001022000,9883.0,30
45,0.0,795.75,2217.75,3013.5,202001022100,9168.0,33
46,0.0,801.25,2277.0,3078.25,202001022200,8303.0,37
47,0.0,789.5,2035.75,2825.25,202001022300,7695.0,37
48,0.0,791.0,2075.0,2866.0,202001030000,7314.0,39
49,0.0,791.0,2095.25,2886.25,202001030100,7206.0,40
50,0.0,791.75,2111.25,2903.0,202001030200,6953.0,42
51,0.0,791.0,2121.0,2912.0,202001030300,7029.0,41
52,0.0,791.0,2109.75,2900.75,202001030400,7295.0,40
53,0.0,792.0,2089.0,2881.0,202001030500,8332.0,35
54,0.0,791.0,2050.25,2841.25,202001030600,9796.0,29
55,8.25,786.25,1987.5,2782.0,202001030700,10313.0,27
56,33.0,769.5,1892.5,2695.0,202001030800,10564.0,26
57,56.75,744.75,1733.25,2534.75,202001030900,10621.0,24
58,74.5,743.5,1581.5,2399.5,202001031000,10330.0,23
59,72.25,765.5,1564.0,2401.75,202001031100,10353.0,23
60,58.5,782.25,1828.5,2669.25,202001031200,10371.0,26
61,42.25,775.0,1974.5,2791.75,202001031300,10302.0,27
62,20.5,760.0,1677.25,2457.75,202001031400,10281.0,24
63,5.75,729.5,1402.0,2137.25,202001031500,10430.0,20
64,0.0,698.0,1251.0,1949.0,202001031600,10630.0,18
65,0.0,663.75,1107.75,1771.5,202001031700,10612.0,17
66,0.0,649.0,1099.5,1748.5,202001031800,10529.0,17
67,0.0,656.75,1116.25,1773.0,202001031900,10137.0,17
68,0.0,684.75,1156.25,1841.0,202001032000,9603.0,19
69,0.0,702.5,1251.5,1954.0,202001032100,9073.0,22
