,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
0,,376.0,,1372.0,13597.0,54.0,,,1314.0,202001010000,202001010100,16283.0,1314.0,430.0,16713.0,97,8
1,,376.0,,1372.0,13027.0,54.0,,,1276.0,202001010100,202001010200,15675.0,1276.0,430.0,16105.0,97,8
2,,379.0,,1373.0,12005.0,53.0,,,1274.0,202001010200,202001010300,14652.0,1274.0,432.0,15084.0,97,8
3,,375.0,,1371.0,11099.0,54.0,,,1250.0,202001010300,202001010400,13720.0,1250.0,429.0,14149.0,97,9
4,,374.0,,1365.0,9670.0,53.0,,,1181.0,202001010400,202001010500,12216.0,1181.0,427.0,12643.0,97,9
5,,374.0,,1365.0,9218.0,52.0,,,1136.0,202001010500,202001010600,11719.0,1136.0,426.0,12145.0,96,9
6,,373.0,,1362.0,9342.0,51.0,,,1211.0,202001010600,202001010700,11915.0,1211.0,424.0,12339.0,97,10
7,,378.0,,1361.0,10112.0,49.0,,,1241.0,202001010700,202001010800,12714.0,1241.0,427.0,13141.0,97,9
8,,374.0,,1360.0,10240.0,47.0,,,1206.0,202001010800,202001010900,12806.0,1206.0,421.0,13227.0,97,9
9,,374.0,,1356.0,10643.0,46.0,,,1240.0,202001010900,202001011000,13239.0,1240.0,420.0,13659.0,97,9
10,,376.0,,1354.0,11378.0,46.0,,,1280.0,202001011000,202001011100,14012.0,1280.0,422.0,14434.0,97,9
11,,320.0,,1361.0,12114.0,46.0,,,1257.0,202001011100,202001011200,14732.0,1257.0,366.0,15098.0,98,8
12,,313.0,,1363.0,12361.0,46.0,,,1276.0,202001011200,202001011300,15000.0,1276.0,359.0,15359.0,98,8
13,,316.0,,1361.0,12925.0,46.0,,,1246.0,202001011300,202001011400,15532.0,1246.0,362.0,15894.0,98,8
14,,312.0,,1360.0,13631.0,46.0,,,1280.0,202001011400,202001011500,16271.0,1280.0,358.0,16629.0,98,8
15,,314.0,,1357.0,14438.0,46.0,,,1238.0,202001011500,202001011600,17033.0,1238.0,360.0,17393.0,98,7
16,,307.0,,1337.0,14888.0,46.0,,,1224.0,202001011600,202001011700,17449.0,1224.0,353.0,17802.0,98,7
17,,311.0,,1357.0,14567.0,46.0,,,1355.0,202001011700,202001011800,17279.0,1355.0,357.0,17636.0,98,8
18,,309.0,,1357.0,14066.0,46.0,,,1431.0,202001011800,202001011900,16854.0,1431.0,355.0,17209.0,98,8
19,,307.0,,1359.0,13044.0,46.0,,,1496.0,202001011900,202001012000,15899.0,1496.0,353.0,16252.0,98,9
20,,307.0,,1361.0,12366.0,46.0,,,1537.0,202001012000,202001012100,15264.0,1537.0,353.0,15617.0,98,10
21,,308.0,,1365.0,10722.0,45.0,,,1563.0,202001012100,202001012200,13650.0,1563.0,353.0,14003.0,97,11
22,,307.0,,1366.0,10001.0,46.0,,,1559.0,202001012200,202001012300,12926.0,1559.0,353.0,13279.0,97,12
