,Solar,Wind Offshore,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,0.0,,202.0,202001010000,202.0,4317.0,5
1,0.0,,223.0,202001010100,223.0,4246.0,5
2,0.0,,239.0,202001010200,239.0,4265.0,6
3,0.0,,252.0,202001010300,252.0,4173.0,6
4,0.0,,265.0,202001010400,265.0,4087.0,6
5,0.0,,280.0,202001010500,280.0,4128.0,7
6,0.0,,293.0,202001010600,293.0,4433.0,7
7,0.0,,303.0,202001010700,303.0,4417.0,7
8,0.0,,282.0,202001010800,282.0,4443.0,6
9,0.0,,219.0,202001010900,219.0,4421.0,5
10,0.0,,156.0,202001011000,156.0,4417.0,4
11,0.0,,111.0,202001011100,111.0,4600.0,2
12,0.0,,84.0,202001011200,84.0,4772.0,2
13,0.0,,68.0,202001011300,68.0,4743.0,1
14,0.0,,61.0,202001011400,61.0,4778.0,1
15,0.0,,69.0,202001011500,69.0,5716.0,1
16,0.0,,86.0,202001011600,86.0,6140.0,1
17,0.0,,104.0,202001011700,104.0,6246.0,2
18,0.0,,129.0,202001011800,129.0,6506.0,2
19,0.0,,167.0,202001011900,167.0,6780.0,2
20,0.0,,214.0,202001012000,214.0,6662.0,3
21,0.0,,262.0,202001012100,262.0,5362.0,5
22,0.0,,175.0,202001012200,175.0,6247.0,3
23,0.0,,389.0,202001012300,389.0,4185.0,9
24,0.0,,430.0,202001020000,430.0,3995.0,11
25,0.0,,467.0,202001020100,467.0,3920.0,12
26,0.0,,503.0,202001020200,503.0,3886.0,13
27,0.0,,548.0,202001020300,548.0,3953.0,14
28,0.0,,599.0,202001020400,599.0,4109.0,15
29,0.0,,655.0,202001020500,655.0,4376.0,15
30,0.0,,705.0,202001020600,705.0,5296.0,13
31,0.0,,763.0,202001020700,763.0,7423.0,10
32,50.0,,823.0,202001020800,873.0,8102.0,11
33,269.0,,805.0,202001020900,1074.0,8640.0,12
34,435.0,,691.0,202001021000,1126.0,8679.0,13
35,532.0,,602.0,202001021100,1134.0,8647.0,13
36,558.0,,553.0,202001021200,1111.0,8575.0,13
37,514.0,,506.0,202001021300,1020.0,7930.0,13
38,400.0,,469.0,202001021400,869.0,7735.0,11
39,216.0,,455.0,202001021500,671.0,7715.0,9
40,17.0,,488.0,202001021600,505.0,8604.0,6
41,0.0,,537.0,202001021700,537.0,8838.0,6
42,0.0,,549.0,202001021800,549.0,8824.0,6
43,0.0,,562.0,202001021900,562.0,8298.0,7
44,0.0,,586.0,202001022000,586.0,8074.0,7
45,0.0,,589.0,202001022100,589.0,7881.0,7
46,0.0,,554.0,202001022200,554.0,6919.0,8
47,0.0,,455.0,202001022300,455.0,4583.0,10
48,0.0,,407.0,202001030000,407.0,4011.0,10
49,0.0,,363.0,202001030100,363.0,3975.0,9
