,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,0.0,899.0,202001010000,899.0,5535.0,16
1,0.0,1004.0,202001010100,1004.0,5376.0,19
2,0.0,1158.0,202001010200,1158.0,5468.0,21
3,0.0,1299.0,202001010300,1299.0,5541.0,23
4,0.0,1369.0,202001010400,1369.0,5680.0,24
5,0.0,1444.0,202001010500,1444.0,6038.0,24
6,31.0,1524.0,202001010600,1555.0,6228.0,25
7,150.0,1558.0,202001010700,1708.0,6466.0,26
8,282.0,1621.0,202001010800,1903.0,6732.0,28
9,365.0,1760.0,202001010900,2125.0,6945.0,31
10,400.0,2021.0,202001011000,2421.0,7159.0,34
11,376.0,2178.0,202001011100,2554.0,7170.0,36
12,274.0,2224.0,202001011200,2498.0,7113.0,35
13,125.0,2153.0,202001011300,2278.0,6962.0,33
14,19.0,2043.0,202001011400,2062.0,6991.0,29
15,0.0,1948.0,202001011500,1948.0,7310.0,27
16,0.0,1897.0,202001011600,1897.0,7590.0,25
17,0.0,1901.0,202001011700,1901.0,7604.0,25
18,0.0,1868.0,202001011800,1868.0,7465.0,25
19,0.0,1787.0,202001011900,1787.0,7137.0,25
20,0.0,1652.0,202001012000,1652.0,6923.0,24
21,0.0,1546.0,202001012100,1546.0,6438.0,24
22,0.0,1482.0,202001012200,1482.0,6115.0,24
23,0.0,1269.0,202001012300,1269.0,5845.0,22
24,0.0,1042.0,202001020000,1042.0,5550.0,19
25,0.0,828.0,202001020100,828.0,5241.0,16
26,0.0,649.0,202001020200,649.0,5055.0,13
27,0.0,537.0,202001020300,537.0,5029.0,11
28,0.0,451.0,202001020400,451.0,5051.0,9
29,0.0,361.0,202001020500,361.0,5634.0,6
30,40.0,259.0,202001020600,299.0,6160.0,5
31,181.0,162.0,202001020700,343.0,6461.0,5
32,336.0,91.0,202001020800,427.0,6765.0,6
33,428.0,99.0,202001020900,527.0,6899.0,8
34,445.0,139.0,202001021000,584.0,6966.0,8
35,403.0,174.0,202001021100,577.0,6871.0,8
36,283.0,216.0,202001021200,499.0,6745.0,7
37,123.0,245.0,202001021300,368.0,6786.0,5
38,19.0,326.0,202001021400,345.0,6891.0,5
39,1.0,467.0,202001021500,468.0,7322.0,6
40,0.0,550.0,202001021600,550.0,7456.0,7
41,0.0,615.0,202001021700,615.0,7427.0,8
42,0.0,658.0,202001021800,658.0,7317.0,9
43,0.0,658.0,202001021900,658.0,7043.0,9
44,0.0,637.0,202001022000,637.0,7010.0,9
45,0.0,656.0,202001022100,656.0,6703.0,10
46,0.0,666.0,202001022200,666.0,6431.0,10
47,0.0,680.0,202001022300,680.0,5698.0,12
48,0.0,695.0,202001030000,695.0,5536.0,13
49,0.0,742.0,202001030100,742.0,5463.0,14
50,0.0,773.0,202001030200,773.0,5428.0,14
51,0.0,774.0,202001030300,774.0,5534.0,14
52,0.0,778.0,202001030400,778.0,5877.0,13
53,0.0,803.0,202001030500,803.0,6347.0,13
54,36.0,815.0,202001030600,851.0,6751.0,13
55,167.0,716.0,202001030700,883.0,7040.0,13
56,333.0,564.0,202001030800,897.0,7120.0,13
57,448.0,469.0,202001030900,917.0,7158.0,13
58,491.0,411.0,202001031000,902.0,7110.0,13
59,455.0,367.0,202001031100,822.0,7024.0,12
60,331.0,348.0,202001031200,679.0,6880.0,10
61,149.0,380.0,202001031300,529.0,6795.0,8
62,23.0,480.0,202001031400,503.0,6898.0,7
63,0.0,602.0,202001031500,602.0,7310.0,8
64,0.0,615.0,202001031600,615.0,7525.0,8
65,0.0,552.0,202001031700,552.0,7424.0,7
66,0.0,496.0,202001031800,496.0,7274.0,7
67,0.0,380.0,202001031900,380.0,6980.0,5
68,0.0,276.0,202001032000,276.0,6687.0,4
69,0.0,224.0,202001032100,224.0,6284.0,4
70,0.0,205.0,202001032200,205.0,5774.0,4
71,0.0,282.0,202001032300,282.0,5097.0,6
72,0.0,213.0,202001040000,213.0,4964.0,4
73,0.0,156.0,202001040100,156.0,4874.0,3
74,0.0,129.0,202001040200,129.0,4840.0,3
75,0.0,134.0,202001040300,134.0,4868.0,3
76,0.0,146.0,202001040400,146.0,4977.0,3
77,0.0,128.0,202001040500,128.0,5074.0,3
78,41.0,100.0,202001040600,141.0,5565.0,3
79,173.0,82.0,202001040700,255.0,5953.0,4
80,316.0,65.0,202001040800,381.0,6155.0,6
81,390.0,50.0,202001040900,440.0,6231.0,7
82,394.0,41.0,202001041000,435.0,6197.0,7
83,344.0,41.0,202001041100,385.0,6112.0,6
84,230.0,43.0,202001041200,273.0,5969.0,5
85,93.0,62.0,202001041300,155.0,5875.0,3
86,14.0,129.0,202001041400,143.0,6004.0,2
87,0.0,205.0,202001041500,205.0,6480.0,3
88,0.0,251.0,202001041600,251.0,6790.0,4
89,0.0,308.0,202001041700,308.0,6787.0,5
90,0.0,315.0,202001041800,315.0,6706.0,5
91,0.0,293.0,202001041900,293.0,6345.0,5
92,0.0,254.0,202001042000,254.0,6138.0,4
93,0.0,231.0,202001042100,231.0,5806.0,4
94,0.0,258.0,202001042200,258.0,5524.0,5
95,0.0,276.0,202001042300,276.0,5153.0,5
96,0.0,263.0,202001050000,263.0,5061.0,5
97,0.0,274.0,202001050100,274.0,4970.0,6
98,0.0,293.0,202001050200,293.0,4946.0,6
99,0.0,253.0,202001050300,253.0,4967.0,5
100,0.0,206.0,202001050400,206.0,4971.0,4
101,1.0,204.0,202001050500,205.0,5160.0,4
102,17.0,212.0,202001050600,229.0,5335.0,4
103,75.0,258.0,202001050700,333.0,5591.0,6
104,140.0,375.0,202001050800,515.0,5881.0,9
105,185.0,618.0,202001050900,803.0,6184.0,13
106,200.0,935.0,202001051000,1135.0,6458.0,18
107,187.0,1253.0,202001051100,1440.0,6748.0,21
108,141.0,1495.0,202001051200,1636.0,6801.0,24
109,71.0,1590.0,202001051300,1661.0,6828.0,24
110,16.0,1721.0,202001051400,1737.0,6978.0,25
111,2.0,1837.0,202001051500,1839.0,7435.0,25
112,1.0,1909.0,202001051600,1910.0,7684.0,25
113,0.0,1972.0,202001051700,1972.0,7737.0,25
114,0.0,2040.0,202001051800,2040.0,7722.0,26
115,0.0,2119.0,202001051900,2119.0,7690.0,28
116,0.0,2142.0,202001052000,2142.0,7564.0,28
117,0.0,2152.0,202001052100,2152.0,7322.0,29
118,0.0,2248.0,202001052200,2248.0,7096.0,32
119,0.0,1921.0,202001052300,1921.0,6458.0,30
120,0.0,1907.0,202001060000,1907.0,6428.0,30
121,0.0,1876.0,202001060100,1876.0,6414.0,29
122,0.0,1912.0,202001060200,1912.0,6549.0,29
123,0.0,1991.0,202001060300,1991.0,6692.0,30
124,0.0,2063.0,202001060400,2063.0,6893.0,30
125,0.0,2152.0,202001060500,2152.0,7573.0,28
126,30.0,2221.0,202001060600,2251.0,8008.0,28
127,135.0,2304.0,202001060700,2439.0,8312.0,29
128,265.0,2384.0,202001060800,2649.0,8897.0,30
129,361.0,2406.0,202001060900,2767.0,9036.0,31
130,400.0,2409.0,202001061000,2809.0,9063.0,31
131,380.0,2396.0,202001061100,2776.0,9006.0,31
132,284.0,2380.0,202001061200,2664.0,8881.0,30
133,137.0,2343.0,202001061300,2480.0,8605.0,29
134,24.0,2318.0,202001061400,2342.0,8675.0,27
135,0.0,2311.0,202001061500,2311.0,8903.0,26
136,0.0,2297.0,202001061600,2297.0,9233.0,25
137,0.0,2273.0,202001061700,2273.0,9206.0,25
138,0.0,2232.0,202001061800,2232.0,8932.0,25
139,0.0,2181.0,202001061900,2181.0,8730.0,25
140,0.0,2150.0,202001062000,2150.0,8672.0,25
141,0.0,2139.0,202001062100,2139.0,8111.0,26
142,0.0,2201.0,202001062200,2201.0,7748.0,28
143,0.0,2132.0,202001062300,2132.0,7200.0,30
144,0.0,2098.0,202001070000,2098.0,7049.0,30
145,0.0,2055.0,202001070100,2055.0,6946.0,30
146,0.0,1952.0,202001070200,1952.0,6827.0,29
147,0.0,1835.0,202001070300,1835.0,6875.0,27
148,0.0,1738.0,202001070400,1738.0,6918.0,25
149,0.0,1676.0,202001070500,1676.0,7291.0,23
150,46.0,1610.0,202001070600,1656.0,8080.0,20
151,201.0,1539.0,202001070700,1740.0,8203.0,21
152,384.0,1460.0,202001070800,1844.0,8337.0,22
153,501.0,1385.0,202001070900,1886.0,8373.0,23
154,546.0,1348.0,202001071000,1894.0,8305.0,23
155,507.0,1319.0,202001071100,1826.0,8193.0,22
156,371.0,1248.0,202001071200,1619.0,7959.0,20
157,173.0,1160.0,202001071300,1333.0,7789.0,17
158,30.0,1142.0,202001071400,1172.0,7753.0,15
159,1.0,1190.0,202001071500,1191.0,8107.0,15
160,0.0,1240.0,202001071600,1240.0,8344.0,15
161,0.0,1262.0,202001071700,1262.0,8341.0,15
162,0.0,1218.0,202001071800,1218.0,8150.0,15
