,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,,4891.0,202001010000,4891.0,17750.0,28
1,,5049.0,202001010100,5049.0,17837.0,28
2,,5260.0,202001010200,5260.0,18020.0,29
3,,5511.0,202001010300,5511.0,18304.0,30
4,,5821.0,202001010400,5821.0,19055.0,31
5,,6089.0,202001010500,6089.0,19543.0,31
6,,6246.0,202001010600,6246.0,20068.0,31
7,,6359.0,202001010700,6359.0,20488.0,31
8,,6468.0,202001010800,6468.0,20524.0,32
9,,6555.0,202001010900,6555.0,20706.0,32
10,,6590.0,202001011000,6590.0,20722.0,32
11,,6593.0,202001011100,6593.0,21005.0,31
12,,6559.0,202001011200,6559.0,21065.0,31
13,,6530.0,202001011300,6530.0,21261.0,31
14,,6506.0,202001011400,6506.0,21652.0,30
15,,6504.0,202001011500,6504.0,22342.0,29
16,,6568.0,202001011600,6568.0,22388.0,29
17,,6624.0,202001011700,6624.0,21938.0,30
18,,6696.0,202001011800,6696.0,21685.0,31
19,,6755.0,202001011900,6755.0,21299.0,32
20,,6781.0,202001012000,6781.0,21123.0,32
21,,6774.0,202001012100,6774.0,20849.0,32
22,,6756.0,202001012200,6756.0,20477.0,33
23,,6685.0,202001012300,6685.0,20133.0,33
24,,6617.0,202001020000,6617.0,19661.0,34
25,,6514.0,202001020100,6514.0,19559.0,33
26,,6394.0,202001020200,6394.0,19446.0,33
27,,6323.0,202001020300,6323.0,19442.0,33
28,,6278.0,202001020400,6278.0,20221.0,31
29,,6242.0,202001020500,6242.0,21306.0,29
30,,6273.0,202001020600,6273.0,22157.0,28
31,,6327.0,202001020700,6327.0,22684.0,28
32,,6418.0,202001020800,6418.0,23026.0,28
33,,6487.0,202001020900,6487.0,23152.0,28
34,,6536.0,202001021000,6536.0,23239.0,28
35,,6560.0,202001021100,6560.0,23196.0,28
36,,6533.0,202001021200,6533.0,23213.0,28
37,,6541.0,202001021300,6541.0,23387.0,28
38,,6563.0,202001021400,6563.0,23737.0,28
39,,6598.0,202001021500,6598.0,23890.0,28
40,,6626.0,202001021600,6626.0,23823.0,28
41,,6667.0,202001021700,6667.0,23689.0,28
