,Solar,startTime,totalRenewable,total,percentRenewable
0,0.0,202001010000,0.0,1456.0,0
1,0.0,202001010100,0.0,1434.0,0
2,0.0,202001010200,0.0,1408.0,0
3,0.0,202001010300,0.0,1412.0,0
4,0.0,202001010400,0.0,1392.0,0
5,0.0,202001010500,0.0,1383.0,0
6,0.0,202001010600,0.0,1466.0,0
7,11.0,202001010700,11.0,1476.0,1
8,38.0,202001010800,38.0,1527.0,2
9,62.0,202001010900,62.0,1549.0,4
10,76.0,202001011000,76.0,1530.0,5
11,63.0,202001011100,63.0,1575.0,4
12,60.0,202001011200,60.0,1539.0,4
13,35.0,202001011300,35.0,1596.0,2
14,11.0,202001011400,11.0,1688.0,1
15,0.0,202001011500,0.0,1748.0,0
16,0.0,202001011600,0.0,1791.0,0
17,0.0,202001011700,0.0,1847.0,0
18,0.0,202001011800,0.0,1881.0,0
19,0.0,202001011900,0.0,1840.0,0
20,0.0,202001012000,0.0,1798.0,0
21,0.0,202001012100,0.0,1734.0,0
22,0.0,202001012200,0.0,1597.0,0
23,0.0,202001012300,0.0,1380.0,0
24,0.0,202001020000,0.0,1352.0,0
25,0.0,202001020100,0.0,1354.0,0
26,0.0,202001020200,0.0,1354.0,0
27,0.0,202001020300,0.0,1349.0,0
28,0.0,202001020400,0.0,1380.0,0
29,0.0,202001020500,0.0,1437.0,0
30,0.0,202001020600,0.0,1552.0,0
31,9.0,202001020700,9.0,1741.0,1
32,33.0,202001020800,33.0,1756.0,2
33,54.0,202001020900,54.0,1722.0,3
34,71.0,202001021000,71.0,1699.0,4
35,65.0,202001021100,65.0,1717.0,4
36,64.0,202001021200,64.0,1810.0,4
37,37.0,202001021300,37.0,1782.0,2
38,13.0,202001021400,13.0,1752.0,1
39,0.0,202001021500,0.0,1929.0,0
40,0.0,202001021600,0.0,1962.0,0
41,0.0,202001021700,0.0,2015.0,0
42,0.0,202001021800,0.0,1862.0,0
43,0.0,202001021900,0.0,1751.0,0
44,0.0,202001022000,0.0,1672.0,0
45,0.0,202001022100,0.0,1572.0,0
46,0.0,202001022200,0.0,1506.0,0
47,0.0,202001022300,0.0,1310.0,0
48,0.0,202001030000,0.0,1292.0,0
49,0.0,202001030100,0.0,1290.0,0
50,0.0,202001030200,0.0,1290.0,0
51,0.0,202001030300,0.0,1296.0,0
52,0.0,202001030400,0.0,1294.0,0
53,0.0,202001030500,0.0,1369.0,0
54,0.0,202001030600,0.0,1519.0,0
55,10.0,202001030700,10.0,1665.0,1
56,34.0,202001030800,34.0,1708.0,2
57,55.0,202001030900,55.0,1685.0,3
58,70.0,202001031000,70.0,1557.0,4
59,62.0,202001031100,62.0,1487.0,4
60,61.0,202001031200,61.0,1635.0,4
61,36.0,202001031300,36.0,1630.0,2
62,12.0,202001031400,12.0,1835.0,1
63,0.0,202001031500,0.0,1853.0,0
64,0.0,202001031600,0.0,1910.0,0
65,0.0,202001031700,0.0,1943.0,0
66,0.0,202001031800,0.0,1856.0,0
67,0.0,202001031900,0.0,1868.0,0
68,0.0,202001032000,0.0,1727.0,0
69,0.0,202001032100,0.0,1532.0,0
70,0.0,202001032200,0.0,1403.0,0
71,0.0,202001032300,0.0,1325.0,0
72,0.0,202001040000,0.0,1358.0,0
73,0.0,202001040100,0.0,1312.0,0
74,0.0,202001040200,0.0,1287.0,0
75,0.0,202001040300,0.0,1291.0,0
76,0.0,202001040400,0.0,1299.0,0
77,0.0,202001040500,0.0,1433.0,0
78,0.0,202001040600,0.0,1465.0,0
79,9.0,202001040700,9.0,1606.0,1
80,32.0,202001040800,32.0,1665.0,2
81,56.0,202001040900,56.0,1636.0,3
82,75.0,202001041000,75.0,1658.0,5
83,64.0,202001041100,64.0,1645.0,4
84,60.0,202001041200,60.0,1610.0,4
85,35.0,202001041300,35.0,1511.0,2
86,11.0,202001041400,11.0,1604.0,1
87,1.0,202001041500,1.0,1680.0,0
88,0.0,202001041600,0.0,1684.0,0
89,0.0,202001041700,0.0,1859.0,0
90,0.0,202001041800,0.0,1863.0,0
91,0.0,202001041900,0.0,1522.0,0
92,0.0,202001042000,0.0,1454.0,0
93,0.0,202001042100,0.0,1481.0,0
94,0.0,202001042200,0.0,1503.0,0
95,0.0,202001042300,0.0,1280.0,0
96,0.0,202001050000,0.0,1234.0,0
97,0.0,202001050100,0.0,1232.0,0
98,0.0,202001050200,0.0,1234.0,0
99,0.0,202001050300,0.0,1239.0,0
100,0.0,202001050400,0.0,1240.0,0
101,0.0,202001050500,0.0,1312.0,0
102,0.0,202001050600,0.0,1478.0,0
103,12.0,202001050700,12.0,1527.0,1
104,41.0,202001050800,41.0,1744.0,2
105,64.0,202001050900,64.0,1723.0,4
106,81.0,202001051000,81.0,1593.0,5
107,76.0,202001051100,76.0,1631.0,5
108,68.0,202001051200,68.0,1547.0,4
109,44.0,202001051300,44.0,1512.0,3
110,16.0,202001051400,16.0,1474.0,1
111,1.0,202001051500,1.0,1557.0,0
112,0.0,202001051600,0.0,1587.0,0
113,0.0,202001051700,0.0,1858.0,0
114,0.0,202001051800,0.0,1844.0,0
115,0.0,202001051900,0.0,1707.0,0
116,0.0,202001052000,0.0,1642.0,0
117,0.0,202001052100,0.0,1547.0,0
118,0.0,202001052200,0.0,1487.0,0
119,0.0,202001052300,0.0,1334.0,0
120,0.0,202001060000,0.0,1305.0,0
121,0.0,202001060100,0.0,1293.0,0
122,0.0,202001060200,0.0,1297.0,0
123,0.0,202001060300,0.0,1296.0,0
124,0.0,202001060400,0.0,1293.0,0
125,0.0,202001060500,0.0,1480.0,0
126,0.0,202001060600,0.0,1716.0,0
127,12.0,202001060700,12.0,1780.0,1
128,41.0,202001060800,41.0,2006.0,2
129,65.0,202001060900,65.0,1964.0,3
130,84.0,202001061000,84.0,1987.0,4
131,72.0,202001061100,72.0,1975.0,4
132,66.0,202001061200,66.0,1939.0,3
133,41.0,202001061300,41.0,1887.0,2
134,15.0,202001061400,15.0,1969.0,1
135,1.0,202001061500,1.0,1975.0,0
136,0.0,202001061600,0.0,2185.0,0
137,0.0,202001061700,0.0,2195.0,0
138,0.0,202001061800,0.0,2179.0,0
139,0.0,202001061900,0.0,2213.0,0
140,0.0,202001062000,0.0,1878.0,0
141,0.0,202001062100,0.0,1758.0,0
142,0.0,202001062200,0.0,1697.0,0
143,0.0,202001062300,0.0,1363.0,0
144,0.0,202001070000,0.0,1354.0,0
145,0.0,202001070100,0.0,1337.0,0
146,0.0,202001070200,0.0,1343.0,0
147,0.0,202001070300,0.0,1350.0,0
148,0.0,202001070400,0.0,1483.0,0
149,0.0,202001070500,0.0,1924.0,0
150,0.0,202001070600,0.0,1973.0,0
151,12.0,202001070700,12.0,2211.0,1
152,40.0,202001070800,40.0,2189.0,2
153,63.0,202001070900,63.0,1919.0,3
154,80.0,202001071000,80.0,1791.0,4
155,67.0,202001071100,67.0,1778.0,4
156,65.0,202001071200,65.0,1756.0,4
157,39.0,202001071300,39.0,1908.0,2
158,14.0,202001071400,14.0,1932.0,1
159,1.0,202001071500,1.0,2158.0,0
160,0.0,202001071600,0.0,2184.0,0
161,0.0,202001071700,0.0,2191.0,0
162,0.0,202001071800,0.0,2091.0,0
163,0.0,202001071900,0.0,1906.0,0
164,0.0,202001072000,0.0,1925.0,0
165,0.0,202001072100,0.0,1704.0,0
166,0.0,202001072200,0.0,1611.0,0
167,0.0,202001072300,0.0,1359.0,0
168,0.0,202001080000,0.0,1346.0,0
169,0.0,202001080100,0.0,1345.0,0
170,0.0,202001080200,0.0,1348.0,0
