,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,0.0,1.0,202001010000,1.0,2624.0,0
1,0.0,1.0,202001010100,1.0,2622.0,0
2,0.0,1.0,202001010200,1.0,2623.0,0
3,0.0,1.0,202001010300,1.0,2622.0,0
4,0.0,1.0,202001010400,1.0,2621.0,0
5,0.0,1.0,202001010500,1.0,2666.0,0
6,4.0,1.0,202001010600,5.0,2724.0,0
7,53.0,1.0,202001010700,54.0,2841.0,2
8,110.0,1.0,202001010800,111.0,2791.0,4
9,152.0,1.0,202001010900,153.0,2791.0,5
10,180.0,1.0,202001011000,181.0,2789.0,6
11,160.0,1.0,202001011100,161.0,2787.0,6
12,101.0,1.0,202001011200,102.0,2783.0,4
13,38.0,1.0,202001011300,39.0,2781.0,1
14,2.0,1.0,202001011400,3.0,2803.0,0
15,0.0,1.0,202001011500,1.0,2945.0,0
16,0.0,1.0,202001011600,1.0,3037.0,0
17,0.0,1.0,202001011700,1.0,3041.0,0
18,0.0,1.0,202001011800,1.0,2893.0,0
19,0.0,1.0,202001011900,1.0,2839.0,0
20,0.0,1.0,202001012000,1.0,2791.0,0
21,0.0,1.0,202001012100,1.0,2760.0,0
22,0.0,1.0,202001012200,1.0,2716.0,0
23,0.0,1.0,202001012300,1.0,2617.0,0
24,0.0,1.0,202001020000,1.0,2620.0,0
25,0.0,1.0,202001020100,1.0,2621.0,0
26,0.0,1.0,202001020200,1.0,2622.0,0
27,0.0,1.0,202001020300,1.0,2622.0,0
28,0.0,1.0,202001020400,1.0,2620.0,0
29,0.0,1.0,202001020500,1.0,2821.0,0
30,1.0,1.0,202001020600,2.0,3006.0,0
31,40.0,1.0,202001020700,41.0,3005.0,1
32,112.0,1.0,202001020800,113.0,2956.0,4
33,160.0,1.0,202001020900,161.0,2952.0,5
34,155.0,1.0,202001021000,156.0,2946.0,5
35,128.0,1.0,202001021100,129.0,2910.0,4
36,70.0,1.0,202001021200,71.0,3007.0,2
37,19.0,1.0,202001021300,20.0,3045.0,1
38,1.0,1.0,202001021400,2.0,3105.0,0
39,0.0,1.0,202001021500,1.0,3345.0,0
40,0.0,1.0,202001021600,1.0,3449.0,0
41,0.0,1.0,202001021700,1.0,3441.0,0
42,0.0,1.0,202001021800,1.0,3220.0,0
43,0.0,1.0,202001021900,1.0,3070.0,0
44,0.0,1.0,202001022000,1.0,3039.0,0
45,0.0,1.0,202001022100,1.0,2708.0,0
46,0.0,1.0,202001022200,1.0,2654.0,0
47,0.0,1.0,202001022300,1.0,2663.0,0
48,0.0,1.0,202001030000,1.0,2663.0,0
49,0.0,1.0,202001030100,1.0,2664.0,0
50,0.0,1.0,202001030200,1.0,2665.0,0
51,0.0,1.0,202001030300,1.0,2664.0,0
52,0.0,1.0,202001030400,1.0,2768.0,0
53,0.0,1.0,202001030500,1.0,2976.0,0
54,4.0,1.0,202001030600,5.0,3204.0,0
55,48.0,1.0,202001030700,49.0,3316.0,1
56,102.0,1.0,202001030800,103.0,3291.0,3
57,139.0,1.0,202001030900,140.0,3244.0,4
58,141.0,1.0,202001031000,142.0,3241.0,4
59,133.0,1.0,202001031100,134.0,3237.0,4
60,95.0,1.0,202001031200,96.0,3234.0,3
61,35.0,1.0,202001031300,36.0,3247.0,1
62,2.0,1.0,202001031400,3.0,3257.0,0
63,0.0,1.0,202001031500,1.0,3564.0,0
64,0.0,1.0,202001031600,1.0,3565.0,0
65,0.0,1.0,202001031700,1.0,3564.0,0
66,0.0,1.0,202001031800,1.0,3318.0,0
67,0.0,1.0,202001031900,1.0,3278.0,0
68,0.0,1.0,202001032000,1.0,3091.0,0
69,0.0,1.0,202001032100,1.0,2951.0,0
70,0.0,1.0,202001032200,1.0,2663.0,0
71,0.0,1.0,202001032300,1.0,2672.0,0
72,0.0,1.0,202001040000,1.0,2672.0,0
73,0.0,1.0,202001040100,1.0,2673.0,0
74,0.0,1.0,202001040200,1.0,2673.0,0
75,0.0,1.0,202001040300,1.0,2673.0,0
76,0.0,1.0,202001040400,1.0,2673.0,0
77,0.0,1.0,202001040500,1.0,2693.0,0
78,3.0,1.0,202001040600,4.0,2746.0,0
79,36.0,1.0,202001040700,37.0,2826.0,1
80,77.0,1.0,202001040800,78.0,2824.0,3
81,101.0,1.0,202001040900,102.0,2774.0,4
82,106.0,1.0,202001041000,107.0,2773.0,4
83,100.0,1.0,202001041100,101.0,2770.0,4
84,71.0,1.0,202001041200,72.0,2767.0,3
85,30.0,1.0,202001041300,31.0,2773.0,1
86,2.0,1.0,202001041400,3.0,2764.0,0
87,0.0,1.0,202001041500,1.0,2830.0,0
88,0.0,1.0,202001041600,1.0,2913.0,0
89,0.0,1.0,202001041700,1.0,2892.0,0
90,0.0,1.0,202001041800,1.0,2857.0,0
91,0.0,1.0,202001041900,1.0,2774.0,0
92,0.0,1.0,202001042000,1.0,2688.0,0
93,0.0,1.0,202001042100,1.0,2680.0,0
94,0.0,1.0,202001042200,1.0,2660.0,0
95,0.0,1.0,202001042300,1.0,2662.0,0
96,0.0,1.0,202001050000,1.0,2662.0,0
97,0.0,1.0,202001050100,1.0,2664.0,0
98,0.0,1.0,202001050200,1.0,2665.0,0
99,0.0,1.0,202001050300,1.0,2669.0,0
100,0.0,1.0,202001050400,1.0,2668.0,0
101,0.0,1.0,202001050500,1.0,2683.0,0
102,3.0,1.0,202001050600,4.0,2717.0,0
103,41.0,1.0,202001050700,42.0,2783.0,2
104,92.0,1.0,202001050800,93.0,2811.0,3
105,127.0,1.0,202001050900,128.0,2760.0,5
106,140.0,1.0,202001051000,141.0,2759.0,5
107,132.0,1.0,202001051100,133.0,2759.0,5
108,79.0,1.0,202001051200,80.0,2734.0,3
109,26.0,1.0,202001051300,27.0,2732.0,1
110,2.0,1.0,202001051400,3.0,2767.0,0
111,0.0,1.0,202001051500,1.0,3003.0,0
112,0.0,1.0,202001051600,1.0,3037.0,0
113,0.0,1.0,202001051700,1.0,3042.0,0
114,0.0,1.0,202001051800,1.0,2928.0,0
115,0.0,1.0,202001051900,1.0,2810.0,0
116,0.0,1.0,202001052000,1.0,2793.0,0
117,0.0,1.0,202001052100,1.0,2751.0,0
118,0.0,1.0,202001052200,1.0,2736.0,0
119,0.0,1.0,202001052300,1.0,2589.0,0
120,0.0,1.0,202001060000,1.0,2590.0,0
121,0.0,1.0,202001060100,1.0,2592.0,0
122,0.0,1.0,202001060200,1.0,2593.0,0
123,0.0,1.0,202001060300,1.0,2681.0,0
124,0.0,1.0,202001060400,1.0,2680.0,0
125,0.0,1.0,202001060500,1.0,2863.0,0
126,4.0,1.0,202001060600,5.0,3049.0,0
127,55.0,1.0,202001060700,56.0,3279.0,2
128,122.0,1.0,202001060800,123.0,3275.0,4
129,169.0,1.0,202001060900,170.0,3089.0,6
130,186.0,1.0,202001061000,187.0,3088.0,6
131,176.0,1.0,202001061100,177.0,3082.0,6
132,105.0,1.0,202001061200,106.0,3080.0,3
133,35.0,1.0,202001061300,36.0,3080.0,1
134,2.0,1.0,202001061400,3.0,3078.0,0
135,0.0,1.0,202001061500,1.0,3261.0,0
136,0.0,1.0,202001061600,1.0,3446.0,0
137,0.0,1.0,202001061700,1.0,3416.0,0
138,0.0,1.0,202001061800,1.0,3167.0,0
139,0.0,1.0,202001061900,1.0,3094.0,0
140,0.0,1.0,202001062000,1.0,2919.0,0
141,0.0,1.0,202001062100,1.0,2654.0,0
142,0.0,1.0,202001062200,1.0,2638.0,0
143,0.0,1.0,202001062300,1.0,2581.0,0
144,0.0,1.0,202001070000,1.0,2581.0,0
145,0.0,1.0,202001070100,1.0,2582.0,0
146,0.0,1.0,202001070200,1.0,2584.0,0
147,0.0,1.0,202001070300,1.0,2582.0,0
148,0.0,1.0,202001070400,1.0,2671.0,0
149,0.0,1.0,202001070500,1.0,2879.0,0
150,4.0,1.0,202001070600,5.0,3095.0,0
151,50.0,1.0,202001070700,51.0,3371.0,2
152,116.0,1.0,202001070800,117.0,3380.0,3
153,167.0,1.0,202001070900,168.0,3150.0,5
154,184.0,1.0,202001071000,185.0,3129.0,6
155,162.0,1.0,202001071100,163.0,3121.0,5
156,118.0,1.0,202001071200,119.0,3122.0,4
157,51.0,1.0,202001071300,52.0,3132.0,2
158,2.0,1.0,202001071400,3.0,3193.0,0
159,0.0,1.0,202001071500,1.0,3298.0,0
160,0.0,1.0,202001071600,1.0,3505.0,0
161,0.0,1.0,202001071700,1.0,3508.0,0
162,0.0,1.0,202001071800,1.0,3232.0,0
163,0.0,1.0,202001071900,1.0,3109.0,0
164,0.0,1.0,202001072000,1.0,3060.0,0
165,0.0,1.0,202001072100,1.0,2866.0,0
166,0.0,1.0,202001072200,1.0,2579.0,0
167,0.0,1.0,202001072300,1.0,2847.0,0
168,0.0,1.0,202001080000,1.0,2848.0,0
169,0.0,1.0,202001080100,1.0,2849.0,0
170,0.0,1.0,202001080200,1.0,2850.0,0
171,0.0,1.0,202001080300,1.0,2849.0,0
