,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,22.0,202108182200,22.0,515.0,4
1,22.0,202108182300,22.0,529.0,4
2,21.0,202108190000,21.0,528.0,4
3,19.0,202108190100,19.0,522.0,4
4,18.0,202108190200,18.0,521.0,3
5,17.0,202108190300,17.0,521.0,3
6,16.0,202108190400,16.0,518.0,3
7,15.0,202108190500,15.0,517.0,3
8,15.0,202108190600,15.0,520.0,3
9,15.0,202108190700,15.0,505.0,3
10,12.0,202108190800,12.0,505.0,2
11,8.0,202108190900,8.0,505.0,2
12,6.0,202108191000,6.0,505.0,1
13,4.0,202108191100,4.0,505.0,1
14,4.0,202108191200,4.0,505.0,1
15,5.0,202108191300,5.0,507.0,1
16,6.0,202108191400,6.0,523.0,1
17,9.0,202108191500,9.0,523.0,2
18,13.0,202108191600,13.0,524.0,2
19,18.0,202108191700,18.0,528.0,3
20,21.0,202108191800,21.0,531.0,4
21,21.0,202108191900,21.0,532.0,4
22,20.0,202108192000,20.0,531.0,4
23,18.0,202108192100,18.0,514.0,4
24,18.0,202108192200,18.0,509.0,4
25,17.0,202108192300,17.0,524.0,3
26,17.0,202108200000,17.0,521.0,3
27,15.0,202108200100,15.0,521.0,3
28,14.0,202108200200,14.0,521.0,3
29,13.0,202108200300,13.0,516.0,3
30,11.0,202108200400,11.0,501.0,2
31,8.0,202108200500,8.0,500.0,2
32,4.0,202108200600,4.0,501.0,1
33,1.0,202108200700,1.0,502.0,0
34,1.0,202108200800,1.0,503.0,0
35,0.0,202108200900,0.0,504.0,0
36,0.0,202108201000,0.0,504.0,0
37,0.0,202108201100,0.0,505.0,0
38,0.0,202108201200,0.0,505.0,0
39,1.0,202108201300,1.0,505.0,0
40,1.0,202108201400,1.0,504.0,0
41,4.0,202108201500,4.0,503.0,1
42,10.0,202108201600,10.0,518.0,2
43,15.0,202108201700,15.0,517.0,3
44,17.0,202108201800,17.0,517.0,3
45,18.0,202108201900,18.0,516.0,3
46,17.0,202108202000,17.0,515.0,3
47,13.0,202108202100,13.0,498.0,3
48,13.0,202108202200,13.0,498.0,3
49,13.0,202108202300,13.0,512.0,3
50,13.0,202108210000,13.0,515.0,3
51,13.0,202108210100,13.0,515.0,3
52,12.0,202108210200,12.0,515.0,2
53,10.0,202108210300,10.0,515.0,2
54,9.0,202108210400,9.0,500.0,2
55,8.0,202108210500,8.0,497.0,2
56,8.0,202108210600,8.0,500.0,2
57,7.0,202108210700,7.0,496.0,1
58,6.0,202108210800,6.0,498.0,1
59,6.0,202108210900,6.0,498.0,1
60,7.0,202108211000,7.0,498.0,1
61,8.0,202108211100,8.0,498.0,2
62,7.0,202108211200,7.0,497.0,1
63,8.0,202108211300,8.0,497.0,2
64,9.0,202108211400,9.0,495.0,2
65,11.0,202108211500,11.0,499.0,2
66,15.0,202108211600,15.0,514.0,3
67,19.0,202108211700,19.0,515.0,4
68,21.0,202108211800,21.0,514.0,4
69,21.0,202108211900,21.0,514.0,4
70,21.0,202108212000,21.0,514.0,4
71,20.0,202108212100,20.0,498.0,4
72,18.0,202108212200,18.0,503.0,4
73,16.0,202108212300,16.0,512.0,3
74,14.0,202108220000,14.0,515.0,3
75,13.0,202108220100,13.0,516.0,3
76,12.0,202108220200,12.0,521.0,2
77,10.0,202108220300,10.0,527.0,2
78,9.0,202108220400,9.0,525.0,2
79,6.0,202108220500,6.0,525.0,1
80,4.0,202108220600,4.0,525.0,1
81,4.0,202108220700,4.0,503.0,1
82,3.0,202108220800,3.0,501.0,1
83,3.0,202108220900,3.0,500.0,1
84,2.0,202108221000,2.0,494.0,0
85,2.0,202108221100,2.0,493.0,0
86,2.0,202108221200,2.0,493.0,0
87,3.0,202108221300,3.0,492.0,1
88,4.0,202108221400,4.0,507.0,1
89,6.0,202108221500,6.0,505.0,1
90,9.0,202108221600,9.0,505.0,2
91,12.0,202108221700,12.0,505.0,2
92,13.0,202108221800,13.0,510.0,3
93,11.0,202108221900,11.0,510.0,2
94,8.0,202108222000,8.0,509.0,2
95,6.0,202108222100,6.0,498.0,1
96,5.0,202108222200,5.0,506.0,1
97,3.0,202108222300,3.0,522.0,1
98,2.0,202108230000,2.0,525.0,0
99,1.0,202108230100,1.0,526.0,0
100,1.0,202108230200,1.0,526.0,0
101,1.0,202108230300,1.0,527.0,0
102,1.0,202108230400,1.0,529.0,0
103,1.0,202108230500,1.0,528.0,0
104,1.0,202108230600,1.0,528.0,0
105,2.0,202108230700,2.0,502.0,0
106,2.0,202108230800,2.0,501.0,0
107,1.0,202108230900,1.0,501.0,0
108,1.0,202108231000,1.0,496.0,0
109,1.0,202108231100,1.0,496.0,0
110,1.0,202108231200,1.0,496.0,0
111,1.0,202108231300,1.0,495.0,0
112,1.0,202108231400,1.0,509.0,0
113,1.0,202108231500,1.0,508.0,0
114,2.0,202108231600,2.0,508.0,0
115,3.0,202108231700,3.0,508.0,1
116,5.0,202108231800,5.0,513.0,1
117,7.0,202108231900,7.0,513.0,1
118,9.0,202108232000,9.0,513.0,2
119,10.0,202108232100,10.0,507.0,2
120,13.0,202108232200,13.0,390.0,3
121,16.0,202108232300,16.0,405.0,4
122,16.0,202108240000,16.0,408.0,4
123,16.0,202108240100,16.0,408.0,4
124,13.0,202108240200,13.0,408.0,3
125,9.0,202108240300,9.0,408.0,2
126,7.0,202108240400,7.0,411.0,2
127,4.0,202108240500,4.0,409.0,1
128,2.0,202108240600,2.0,405.0,0
129,1.0,202108240700,1.0,380.0,0
130,1.0,202108240800,1.0,380.0,0
131,0.0,202108240900,0.0,381.0,0
132,0.0,202108241000,0.0,375.0,0
133,0.0,202108241100,0.0,375.0,0
134,0.0,202108241200,0.0,375.0,0
135,1.0,202108241300,1.0,375.0,0
136,1.0,202108241400,1.0,389.0,0
137,3.0,202108241500,3.0,387.0,1
138,7.0,202108241600,7.0,387.0,2
139,14.0,202108241700,14.0,391.0,4
140,20.0,202108241800,20.0,396.0,5
141,22.0,202108241900,22.0,396.0,6
142,21.0,202108242000,21.0,396.0,5
143,19.0,202108242100,19.0,391.0,5
144,21.0,202108242200,21.0,397.0,5
145,19.0,202108242300,19.0,413.0,5
146,16.0,202108250000,16.0,414.0,4
147,14.0,202108250100,14.0,413.0,3
148,12.0,202108250200,12.0,413.0,3
149,10.0,202108250300,10.0,414.0,2
150,8.0,202108250400,8.0,412.0,2
151,6.0,202108250500,6.0,413.0,1
152,3.0,202108250600,3.0,414.0,1
153,1.0,202108250700,1.0,389.0,0
154,0.0,202108250800,0.0,390.0,0
155,0.0,202108250900,0.0,390.0,0
156,0.0,202108251000,0.0,385.0,0
157,0.0,202108251100,0.0,385.0,0
158,1.0,202108251200,1.0,385.0,0
159,1.0,202108251300,1.0,385.0,0
