,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,0.0,318.0,202001010000,318.0,3689.0,9
1,0.0,370.0,202001010100,370.0,3686.0,10
2,0.0,404.0,202001010200,404.0,3735.0,11
3,0.0,423.0,202001010300,423.0,3845.0,11
4,0.0,460.0,202001010400,460.0,4056.0,11
5,0.0,481.0,202001010500,481.0,4563.0,11
6,30.0,545.0,202001010600,575.0,4855.0,12
7,139.0,575.0,202001010700,714.0,5101.0,14
8,274.0,567.0,202001010800,841.0,5232.0,16
9,356.0,557.0,202001010900,913.0,5276.0,17
10,382.0,576.0,202001011000,958.0,5159.0,19
11,347.0,586.0,202001011100,933.0,5027.0,19
12,263.0,588.0,202001011200,851.0,4954.0,17
13,136.0,575.0,202001011300,711.0,5039.0,14
14,17.0,525.0,202001011400,542.0,5441.0,10
15,0.0,512.0,202001011500,512.0,5596.0,9
16,0.0,521.0,202001011600,521.0,5587.0,9
17,0.0,545.0,202001011700,545.0,5465.0,10
18,0.0,538.0,202001011800,538.0,5383.0,10
19,0.0,519.0,202001011900,519.0,5306.0,10
20,0.0,505.0,202001012000,505.0,5089.0,10
21,0.0,526.0,202001012100,526.0,5015.0,10
22,0.0,475.0,202001012200,475.0,4726.0,10
23,0.0,440.0,202001012300,440.0,4520.0,10
24,0.0,434.0,202001020000,434.0,4484.0,10
25,0.0,434.0,202001020100,434.0,4469.0,10
26,0.0,459.0,202001020200,459.0,4566.0,10
27,0.0,423.0,202001020300,423.0,4949.0,9
28,0.0,372.0,202001020400,372.0,5347.0,7
29,0.0,359.0,202001020500,359.0,5895.0,6
30,47.0,354.0,202001020600,401.0,5362.0,7
31,186.0,251.0,202001020700,437.0,5500.0,8
32,310.0,146.0,202001020800,456.0,5514.0,8
33,386.0,103.0,202001020900,489.0,5501.0,9
34,407.0,95.0,202001021000,502.0,5447.0,9
35,368.0,74.0,202001021100,442.0,5363.0,8
36,278.0,63.0,202001021200,341.0,5364.0,6
37,144.0,56.0,202001021300,200.0,5398.0,4
38,18.0,73.0,202001021400,91.0,5779.0,2
39,0.0,57.0,202001021500,57.0,5810.0,1
40,0.0,36.0,202001021600,36.0,5636.0,1
41,0.0,39.0,202001021700,39.0,5360.0,1
42,0.0,39.0,202001021800,39.0,5232.0,1
43,0.0,44.0,202001021900,44.0,5092.0,1
44,0.0,45.0,202001022000,45.0,4976.0,1
45,0.0,88.0,202001022100,88.0,4579.0,2
46,0.0,60.0,202001022200,60.0,4473.0,1
47,0.0,79.0,202001022300,79.0,4354.0,2
48,0.0,212.0,202001030000,212.0,4321.0,5
49,0.0,189.0,202001030100,189.0,4334.0,4
50,0.0,125.0,202001030200,125.0,4449.0,3
51,0.0,116.0,202001030300,116.0,4924.0,2
52,0.0,128.0,202001030400,128.0,5152.0,2
53,0.0,156.0,202001030500,156.0,5455.0,3
54,18.0,206.0,202001030600,224.0,5546.0,4
55,95.0,219.0,202001030700,314.0,5576.0,6
56,202.0,177.0,202001030800,379.0,5499.0,7
57,280.0,193.0,202001030900,473.0,5392.0,9
58,300.0,336.0,202001031000,636.0,5267.0,12
59,274.0,334.0,202001031100,608.0,5120.0,12
60,205.0,297.0,202001031200,502.0,4983.0,10
61,102.0,310.0,202001031300,412.0,5176.0,8
62,14.0,404.0,202001031400,418.0,5715.0,7
63,0.0,491.0,202001031500,491.0,5885.0,8
64,0.0,495.0,202001031600,495.0,5889.0,8
65,0.0,490.0,202001031700,490.0,5582.0,9
66,0.0,488.0,202001031800,488.0,5406.0,9
67,0.0,490.0,202001031900,490.0,5207.0,9
68,0.0,492.0,202001032000,492.0,5001.0,10
69,0.0,505.0,202001032100,505.0,4742.0,11
70,0.0,471.0,202001032200,471.0,4622.0,10
71,0.0,489.0,202001032300,489.0,4440.0,11
72,0.0,473.0,202001040000,473.0,4327.0,11
73,0.0,461.0,202001040100,461.0,4326.0,11
74,0.0,453.0,202001040200,453.0,4488.0,10
75,0.0,430.0,202001040300,430.0,4618.0,9
76,0.0,367.0,202001040400,367.0,4848.0,8
77,0.0,364.0,202001040500,364.0,5328.0,7
78,50.0,359.0,202001040600,409.0,5544.0,7
79,192.0,296.0,202001040700,488.0,5662.0,9
80,316.0,207.0,202001040800,523.0,5550.0,9
81,386.0,169.0,202001040900,555.0,5367.0,10
82,403.0,136.0,202001041000,539.0,5151.0,10
83,368.0,103.0,202001041100,471.0,4919.0,10
84,262.0,96.0,202001041200,358.0,4832.0,7
85,130.0,107.0,202001041300,237.0,5003.0,5
86,14.0,141.0,202001041400,155.0,5465.0,3
87,0.0,219.0,202001041500,219.0,5826.0,4
88,0.0,285.0,202001041600,285.0,5725.0,5
89,0.0,295.0,202001041700,295.0,5565.0,5
90,0.0,325.0,202001041800,325.0,5279.0,6
91,0.0,276.0,202001041900,276.0,4996.0,6
92,0.0,227.0,202001042000,227.0,4898.0,5
