,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,0.0,0.0,202001010000,0.0,3562.0,0
1,0.0,0.0,202001010100,0.0,3547.0,0
2,0.0,0.0,202001010200,0.0,3384.0,0
3,0.0,0.0,202001010300,0.0,3367.0,0
4,0.0,0.0,202001010400,0.0,3367.0,0
5,0.0,0.0,202001010500,0.0,3414.0,0
6,0.0,0.0,202001010600,0.0,3488.0,0
7,4.0,0.0,202001010700,4.0,3539.0,0
8,19.0,0.0,202001010800,19.0,3589.0,1
9,38.0,0.0,202001010900,38.0,3638.0,1
10,62.0,0.0,202001011000,62.0,3633.0,2
11,65.0,0.0,202001011100,65.0,3657.0,2
12,59.0,0.0,202001011200,59.0,3629.0,2
13,49.0,0.0,202001011300,49.0,3629.0,1
14,33.0,0.0,202001011400,33.0,3634.0,1
15,10.0,0.0,202001011500,10.0,3774.0,0
16,0.0,0.0,202001011600,0.0,4082.0,0
17,0.0,0.0,202001011700,0.0,5512.0,0
18,0.0,0.0,202001011800,0.0,5354.0,0
19,0.0,0.0,202001011900,0.0,5244.0,0
20,0.0,0.0,202001012000,0.0,4008.0,0
21,0.0,0.0,202001012100,0.0,3953.0,0
22,0.0,0.0,202001012200,0.0,3734.0,0
23,0.0,0.0,202001012300,0.0,3671.0,0
24,0.0,0.0,202001020000,0.0,3539.0,0
25,0.0,0.0,202001020100,0.0,3534.0,0
26,0.0,0.0,202001020200,0.0,3529.0,0
27,0.0,0.0,202001020300,0.0,3525.0,0
28,0.0,0.0,202001020400,0.0,3521.0,0
29,0.0,0.0,202001020500,0.0,3650.0,0
30,0.0,0.0,202001020600,0.0,4441.0,0
31,4.0,0.0,202001020700,4.0,5482.0,0
32,18.0,0.0,202001020800,18.0,5582.0,0
33,38.0,0.0,202001020900,38.0,5765.0,1
34,62.0,0.0,202001021000,62.0,5348.0,1
35,66.0,0.0,202001021100,66.0,5121.0,1
36,60.0,0.0,202001021200,60.0,4774.0,1
37,49.0,0.0,202001021300,49.0,4723.0,1
38,32.0,0.0,202001021400,32.0,4904.0,1
39,10.0,0.0,202001021500,10.0,5067.0,0
40,0.0,0.0,202001021600,0.0,6261.0,0
41,0.0,0.0,202001021700,0.0,6778.0,0
42,0.0,0.0,202001021800,0.0,6323.0,0
43,0.0,0.0,202001021900,0.0,4820.0,0
44,0.0,0.0,202001022000,0.0,3836.0,0
45,0.0,0.0,202001022100,0.0,3749.0,0
46,0.0,0.0,202001022200,0.0,3748.0,0
47,0.0,0.0,202001022300,0.0,3639.0,0
