,Solar,Wind Onshore,startTime,endTime,totalRenewable,total,percentRenewable
0,13.0,1543.0,202001010000,202001010100,1556.0,20383.0,8
1,11.0,1595.0,202001010100,202001010200,1606.0,20218.0,8
2,9.0,1621.0,202001010200,202001010300,1630.0,20510.0,8
3,11.0,1632.0,202001010300,202001010400,1643.0,20809.0,8
4,11.0,1666.0,202001010400,202001010500,1677.0,20710.0,8
5,11.0,1679.0,202001010500,202001010600,1690.0,20823.0,8
6,11.0,1568.0,202001010600,202001010700,1579.0,20847.0,8
7,77.0,1426.0,202001010700,202001010800,1503.0,20917.0,7
8,867.0,1301.0,202001010800,202001010900,2168.0,21608.0,10
9,2399.0,1104.0,202001010900,202001011000,3503.0,22902.0,15
10,3676.0,937.0,202001011000,202001011100,4613.0,24027.0,19
11,4472.0,828.0,202001011100,202001011200,5300.0,24904.0,21
12,4845.0,787.0,202001011200,202001011300,5632.0,24700.0,23
13,4774.0,759.0,202001011300,202001011400,5533.0,24506.0,23
14,4366.0,659.0,202001011400,202001011500,5025.0,24260.0,21
15,3124.0,713.0,202001011500,202001011600,3837.0,22950.0,17
16,1242.0,817.0,202001011600,202001011700,2059.0,22014.0,9
17,206.0,893.0,202001011700,202001011800,1099.0,21989.0,5
18,39.0,1056.0,202001011800,202001011900,1095.0,22550.0,5
19,40.0,1219.0,202001011900,202001012000,1259.0,22272.0,6
20,35.0,1400.0,202001012000,202001012100,1435.0,22718.0,6
21,28.0,1601.0,202001012100,202001012200,1629.0,21984.0,7
22,30.0,1804.0,202001012200,202001012300,1834.0,20992.0,9
23,26.0,1777.0,202001012300,202001020000,1803.0,20915.0,9
24,20.0,1912.0,202001020000,202001020100,1932.0,21180.0,9
25,5.0,2073.0,202001020100,202001020200,2078.0,21404.0,10
26,9.0,2120.0,202001020200,202001020300,2129.0,21502.0,10
27,9.0,2270.0,202001020300,202001020400,2279.0,21654.0,11
28,8.0,2429.0,202001020400,202001020500,2437.0,21877.0,11
29,8.0,2538.0,202001020500,202001020600,2546.0,22113.0,12
30,8.0,2666.0,202001020600,202001020700,2674.0,24388.0,11
31,67.0,2827.0,202001020700,202001020800,2894.0,26148.0,11
32,724.0,3030.0,202001020800,202001020900,3754.0,28260.0,13
33,2069.0,3050.0,202001020900,202001021000,5119.0,30250.0,17
34,3249.0,2989.0,202001021000,202001021100,6238.0,31570.0,20
35,4047.0,2845.0,202001021100,202001021200,6892.0,32232.0,21
36,4499.0,2826.0,202001021200,202001021300,7325.0,32053.0,23
37,4504.0,2812.0,202001021300,202001021400,7316.0,31503.0,23
38,4116.0,2885.0,202001021400,202001021500,7001.0,31012.0,23
39,2989.0,3148.0,202001021500,202001021600,6137.0,30384.0,20
40,1219.0,3455.0,202001021600,202001021700,4674.0,30300.0,15
41,199.0,3762.0,202001021700,202001021800,3961.0,29889.0,13
42,26.0,3936.0,202001021800,202001021900,3962.0,29873.0,13
43,30.0,4096.0,202001021900,202001022000,4126.0,28775.0,14
44,24.0,4173.0,202001022000,202001022100,4197.0,28375.0,15
45,22.0,4193.0,202001022100,202001022200,4215.0,26240.0,16
46,18.0,4212.0,202001022200,202001022300,4230.0,25000.0,17
47,21.0,4066.0,202001022300,202001030000,4087.0,24700.0,17
48,14.0,4068.0,202001030000,202001030100,4082.0,23938.0,17
