group_id,Solar,Wind Onshore,totalRenewable,startTime,total,percentRenewable
0,0.0,189.25,189.25,202001010000,3277.0,6
1,0.0,160.75,160.75,202001010100,3132.5,5
2,0.0,146.5,146.5,202001010200,3103.25,5
3,0.0,160.5,160.5,202001010300,3083.25,5
4,0.0,164.75,164.75,202001010400,3085.75,5
5,0.0,123.25,123.25,202001010500,3154.75,4
6,5.25,83.0,88.25,202001010600,3179.5,3
7,73.75,91.75,165.5,202001010700,3288.5,5
8,207.25,92.25,299.5,202001010800,3500.75,9
9,312.0,68.25,380.25,202001010900,3657.25,10
10,349.75,45.75,395.5,202001011000,3687.75,11
11,334.75,30.25,365.0,202001011100,3603.25,10
12,257.25,24.25,281.5,202001011200,3433.25,8
13,137.0,18.25,155.25,202001011300,3334.25,5
14,32.5,17.75,50.25,202001011400,3296.0,2
15,0.0,36.5,36.5,202001011500,3298.75,1
16,0.0,52.75,52.75,202001011600,3338.0,2
17,0.0,53.25,53.25,202001011700,3355.75,2
18,0.0,34.5,34.5,202001011800,3359.75,1
19,0.0,26.0,26.0,202001011900,3308.25,1
20,0.0,25.75,25.75,202001012000,3285.5,1
21,0.0,32.5,32.5,202001012100,3303.0,1
22,0.0,36.75,36.75,202001012200,3226.75,1
23,0.0,33.5,33.5,202001012300,3215.5,1
24,0.0,20.25,20.25,202001020000,3177.75,1
25,0.0,13.0,13.0,202001020100,3109.75,0
26,0.0,9.0,9.0,202001020200,3024.75,0
27,0.0,5.75,5.75,202001020300,3028.25,0
28,0.0,3.75,3.75,202001020400,3178.75,0
29,9.25,4.25,13.5,202001020500,3354.5,0
30,40.25,6.5,46.75,202001020600,3366.0,1
31,81.75,7.5,89.25,202001020700,3432.0,3
32,128.25,5.75,134.0,202001020800,3552.75,4
33,186.5,3.25,189.75,202001020900,3668.75,5
34,242.75,4.0,246.75,202001021000,3679.0,7
35,224.25,4.0,228.25,202001021100,3639.75,6
36,162.25,6.25,168.5,202001021200,3566.5,5
37,101.0,9.75,110.75,202001021300,3467.25,3
38,56.25,24.0,80.25,202001021400,3394.25,2
39,15.5,56.25,71.75,202001021500,3401.25,2
40,0.0,92.5,92.5,202001021600,3432.75,3
41,0.0,87.0,87.0,202001021700,3442.75,3
42,0.0,70.5,70.5,202001021800,3431.25,2
43,0.0,69.0,69.0,202001021900,3418.25,2
44,0.0,64.5,64.5,202001022000,3399.75,2
45,0.0,57.25,57.25,202001022100,3311.5,2
46,0.0,47.75,47.75,202001022200,3295.25,1
47,0.0,78.0,78.0,202001022300,3335.5,2
48,0.0,70.75,70.75,202001030000,3339.75,2
49,0.0,58.75,58.75,202001030100,3197.75,2
50,0.0,49.0,49.0,202001030200,3126.0,2
51,0.0,35.75,35.75,202001030300,3128.25,1
52,0.0,33.75,33.75,202001030400,3247.75,1
53,0.0,38.25,38.25,202001030500,3380.75,1
54,5.0,39.0,44.0,202001030600,3400.0,1
55,58.5,41.5,100.0,202001030700,3469.0,3
56,162.0,19.5,181.5,202001030800,3561.0,5
57,251.5,10.5,262.0,202001030900,3639.0,7
58,292.75,4.0,296.75,202001031000,3670.5,8
59,289.0,2.5,291.5,202001031100,3631.75,8
60,234.25,3.5,237.75,202001031200,3590.5,7
61,132.25,5.75,138.0,202001031300,3506.25,4
62,33.75,12.0,45.75,202001031400,3426.5,1
63,0.0,25.25,25.25,202001031500,3421.5,1
