,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
0,0.0,,202001010000,0.0,15420.0,0
1,0.0,,202001010100,0.0,15041.0,0
2,0.0,,202001010200,0.0,14939.0,0
3,0.0,,202001010300,0.0,15165.0,0
4,0.0,,202001010400,0.0,15343.0,0
5,0.0,,202001010500,0.0,15667.0,0
6,30.0,,202001010600,30.0,16432.0,0
7,849.0,,202001010700,849.0,16845.0,5
8,2812.0,,202001010800,2812.0,16315.0,17
9,4796.0,,202001010900,4796.0,17027.0,28
10,6015.0,,202001011000,6015.0,17322.0,35
11,6351.0,,202001011100,6351.0,17204.0,37
12,5828.0,,202001011200,5828.0,17068.0,34
13,4271.0,,202001011300,4271.0,17048.0,25
14,2054.0,,202001011400,2054.0,17316.0,12
15,247.0,,202001011500,247.0,18132.0,1
16,0.0,,202001011600,0.0,20462.0,0
17,0.0,,202001011700,0.0,21220.0,0
18,0.0,,202001011800,0.0,21494.0,0
19,0.0,,202001011900,0.0,21097.0,0
20,0.0,,202001012000,0.0,19531.0,0
21,0.0,,202001012100,0.0,18452.0,0
22,0.0,,202001012200,0.0,17070.0,0
23,0.0,,202001012300,0.0,15517.0,0
24,0.0,,202001020000,0.0,14765.0,0
25,0.0,,202001020100,0.0,14553.0,0
26,0.0,,202001020200,0.0,14467.0,0
27,0.0,,202001020300,0.0,14737.0,0
28,0.0,,202001020400,0.0,14846.0,0
29,0.0,,202001020500,0.0,18063.0,0
30,35.0,,202001020600,35.0,21985.0,0
31,871.0,,202001020700,871.0,23465.0,4
32,2779.0,,202001020800,2779.0,23725.0,12
33,4582.0,,202001020900,4582.0,22778.0,20
34,5639.0,,202001021000,5639.0,22217.0,25
35,5969.0,,202001021100,5969.0,21662.0,28
36,5539.0,,202001021200,5539.0,21010.0,26
37,4129.0,,202001021300,4129.0,22186.0,19
38,2016.0,,202001021400,2016.0,23825.0,8
39,232.0,,202001021500,232.0,26408.0,1
40,0.0,,202001021600,0.0,29123.0,0
41,0.0,,202001021700,0.0,29225.0,0
42,0.0,,202001021800,0.0,28881.0,0
43,0.0,,202001021900,0.0,26870.0,0
44,0.0,,202001022000,0.0,24836.0,0
45,0.0,,202001022100,0.0,22066.0,0
46,0.0,,202001022200,0.0,19256.0,0
47,0.0,,202001022300,0.0,16076.0,0
48,0.0,,202001030000,0.0,14985.0,0
49,0.0,,202001030100,0.0,14584.0,0
50,0.0,,202001030200,0.0,14332.0,0
51,0.0,,202001030300,0.0,14824.0,0
52,0.0,,202001030400,0.0,15522.0,0
53,0.0,,202001030500,0.0,18147.0,0
54,34.0,,202001030600,34.0,21673.0,0
55,830.0,,202001030700,830.0,23910.0,3
56,2565.0,,202001030800,2565.0,23541.0,11
57,4125.0,,202001030900,4125.0,22960.0,18
58,4976.0,,202001031000,4976.0,22491.0,22
59,5161.0,,202001031100,5161.0,21826.0,24
60,4704.0,,202001031200,4704.0,21591.0,22
61,3487.0,,202001031300,3487.0,22956.0,15
62,1720.0,,202001031400,1720.0,24574.0,7
63,184.0,,202001031500,184.0,27368.0,1
64,0.0,,202001031600,0.0,30382.0,0
65,0.0,,202001031700,0.0,30414.0,0
66,0.0,,202001031800,0.0,29796.0,0
67,0.0,,202001031900,0.0,27110.0,0
68,0.0,,202001032000,0.0,24507.0,0
69,0.0,,202001032100,0.0,21832.0,0
70,0.0,,202001032200,0.0,18957.0,0
71,0.0,,202001032300,0.0,17608.0,0
72,0.0,,202001040000,0.0,16757.0,0
73,0.0,,202001040100,0.0,15775.0,0
74,0.0,,202001040200,0.0,15633.0,0
75,0.0,,202001040300,0.0,15833.0,0
76,0.0,,202001040400,0.0,16410.0,0
77,0.0,,202001040500,0.0,17681.0,0
78,28.0,,202001040600,28.0,20251.0,0
79,620.0,,202001040700,620.0,21642.0,3
80,2020.0,,202001040800,2020.0,21439.0,9
81,3462.0,,202001040900,3462.0,21305.0,16
82,4427.0,,202001041000,4427.0,20241.0,22
83,4675.0,,202001041100,4675.0,19401.0,24
84,4196.0,,202001041200,4196.0,18696.0,22
85,3029.0,,202001041300,3029.0,19143.0,16
86,1451.0,,202001041400,1451.0,19931.0,7
87,213.0,,202001041500,213.0,22038.0,1
88,0.0,,202001041600,0.0,24950.0,0
89,0.0,,202001041700,0.0,26381.0,0
90,0.0,,202001041800,0.0,26458.0,0
91,0.0,,202001041900,0.0,24871.0,0
92,0.0,,202001042000,0.0,22749.0,0
93,0.0,,202001042100,0.0,20727.0,0
94,0.0,,202001042200,0.0,18431.0,0
95,0.0,,202001042300,0.0,17298.0,0
96,0.0,,202001050000,0.0,15430.0,0
97,0.0,,202001050100,0.0,15024.0,0
98,0.0,,202001050200,0.0,14367.0,0
99,0.0,,202001050300,0.0,14559.0,0
100,0.0,,202001050400,0.0,14745.0,0
101,0.0,,202001050500,0.0,15455.0,0
102,22.0,,202001050600,22.0,16674.0,0
103,762.0,,202001050700,762.0,17725.0,4
104,2635.0,,202001050800,2635.0,18403.0,14
105,4597.0,,202001050900,4597.0,19162.0,24
106,5841.0,,202001051000,5841.0,19144.0,31
107,6237.0,,202001051100,6237.0,18924.0,33
108,5817.0,,202001051200,5817.0,18474.0,31
109,4338.0,,202001051300,4338.0,18400.0,24
110,2143.0,,202001051400,2143.0,18982.0,11
111,360.0,,202001051500,360.0,21652.0,2
112,0.0,,202001051600,0.0,23870.0,0
113,0.0,,202001051700,0.0,25040.0,0
114,0.0,,202001051800,0.0,24902.0,0
115,0.0,,202001051900,0.0,24398.0,0
116,0.0,,202001052000,0.0,21224.0,0
117,0.0,,202001052100,0.0,20850.0,0
118,0.0,,202001052200,0.0,19299.0,0
119,0.0,,202001052300,0.0,17754.0,0
120,0.0,,202001060000,0.0,17295.0,0
121,0.0,,202001060100,0.0,16906.0,0
122,0.0,,202001060200,0.0,17148.0,0
123,0.0,,202001060300,0.0,17119.0,0
124,0.0,,202001060400,0.0,17519.0,0
125,0.0,,202001060500,0.0,17786.0,0
126,29.0,,202001060600,29.0,20858.0,0
127,808.0,,202001060700,808.0,22650.0,4
128,2695.0,,202001060800,2695.0,23065.0,12
129,4584.0,,202001060900,4584.0,22827.0,20
130,5734.0,,202001061000,5734.0,22645.0,25
131,6073.0,,202001061100,6073.0,21598.0,28
132,5625.0,,202001061200,5625.0,20995.0,27
133,4231.0,,202001061300,4231.0,21244.0,20
134,2148.0,,202001061400,2148.0,21979.0,10
135,359.0,,202001061500,359.0,25463.0,1
136,0.0,,202001061600,0.0,25219.0,0
137,0.0,,202001061700,0.0,25461.0,0
138,0.0,,202001061800,0.0,25375.0,0
139,0.0,,202001061900,0.0,24325.0,0
140,0.0,,202001062000,0.0,22642.0,0
141,0.0,,202001062100,0.0,20896.0,0
142,0.0,,202001062200,0.0,18450.0,0
143,0.0,,202001062300,0.0,17099.0,0
144,0.0,,202001070000,0.0,16347.0,0
145,0.0,,202001070100,0.0,15648.0,0
146,0.0,,202001070200,0.0,15346.0,0
147,0.0,,202001070300,0.0,15972.0,0
148,0.0,,202001070400,0.0,17741.0,0
149,0.0,,202001070500,0.0,21983.0,0
150,37.0,,202001070600,37.0,26426.0,0
151,870.0,,202001070700,870.0,29040.0,3
152,2689.0,,202001070800,2689.0,29175.0,9
153,4297.0,,202001070900,4297.0,28553.0,15
154,5147.0,,202001071000,5147.0,27873.0,18
155,5303.0,,202001071100,5303.0,26081.0,20
156,4829.0,,202001071200,4829.0,26415.0,18
157,3639.0,,202001071300,3639.0,27999.0,13
158,1868.0,,202001071400,1868.0,29834.0,6
159,326.0,,202001071500,326.0,32229.0,1
160,0.0,,202001071600,0.0,33939.0,0
161,0.0,,202001071700,0.0,33621.0,0
162,0.0,,202001071800,0.0,32572.0,0
163,0.0,,202001071900,0.0,30696.0,0
164,0.0,,202001072000,0.0,28115.0,0
165,0.0,,202001072100,0.0,24916.0,0
166,0.0,,202001072200,0.0,22120.0,0
167,0.0,,202001072300,0.0,19594.0,0
168,0.0,,202001080000,0.0,17819.0,0
169,0.0,,202001080100,0.0,16543.0,0
170,0.0,,202001080200,0.0,16259.0,0
171,0.0,,202001080300,0.0,16755.0,0
