group_id,Solar,Wind Onshore,totalRenewable,startTime,total,percentRenewable
0,0.0,32.0,32.0,202203082300,78.25,41
1,0.0,28.25,28.25,202203090000,74.0,38
2,0.0,25.0,25.0,202203090100,72.0,35
3,0.0,22.25,22.25,202203090200,68.0,33
4,0.0,19.75,19.75,202203090300,68.25,29
5,0.0,18.0,18.0,202203090400,109.25,16
6,0.0,17.0,17.0,202203090500,113.75,15
7,13.25,16.0,29.25,202203090600,117.5,25
8,61.25,16.5,77.75,202203090700,115.75,67
9,117.0,15.5,132.5,202203090800,121.0,110
10,159.25,14.0,173.25,202203090900,117.5,147
11,186.0,9.25,195.25,202203091000,107.5,182
12,199.0,8.0,207.0,202203091100,105.5,196
13,196.0,7.25,203.25,202203091200,105.75,192
14,177.5,8.0,185.5,202203091300,104.25,178
15,143.0,7.75,150.75,202203091400,114.0,132
16,91.5,7.0,98.5,202203091500,112.5,88
17,36.5,7.5,44.0,202203091600,112.0,39
18,2.75,10.75,13.5,202203091700,112.75,12
19,0.0,15.25,15.25,202203091800,113.25,13
20,0.0,21.5,21.5,202203091900,112.0,19
21,0.0,28.5,28.5,202203092000,63.25,45
22,0.0,33.0,33.0,202203092100,61.0,54
23,0.0,32.5,32.5,202203092200,61.0,53
24,0.0,32.5,32.5,202203092300,61.25,53
25,0.0,28.5,28.5,202203100000,62.0,46
26,0.0,27.0,27.0,202203100100,62.0,44
27,0.0,27.0,27.0,202203100200,62.0,44
28,0.0,27.0,27.0,202203100300,62.0,44
29,0.0,27.25,27.25,202203100400,98.0,28
30,0.0,29.0,29.0,202203100500,114.5,25
31,14.25,30.25,44.5,202203100600,113.25,39
32,63.0,32.5,95.5,202203100700,114.25,84
33,118.0,34.0,152.0,202203100800,116.5,130
34,160.5,30.5,191.0,202203100900,108.5,176
35,188.0,22.5,210.5,202203101000,114.25,184
36,200.5,20.0,220.5,202203101100,114.5,193
37,197.5,19.75,217.25,202203101200,111.75,194
38,179.75,22.5,202.25,202203101300,111.75,181
39,145.0,25.0,170.0,202203101400,131.75,129
40,93.5,28.5,122.0,202203101500,145.0,84
41,38.0,36.5,74.5,202203101600,144.75,51
42,2.75,49.0,51.75,202203101700,154.25,34
43,0.0,63.0,63.0,202203101800,158.5,40
44,0.0,71.0,71.0,202203101900,157.0,45
45,0.0,74.75,74.75,202203102000,116.5,64
46,0.0,77.0,77.0,202203102100,116.5,66
47,0.0,77.0,77.0,202203102200,127.75,60
48,0.0,77.25,77.25,202203102300,127.5,61
49,0.0,75.75,75.75,202203110000,130.25,58
50,0.0,74.0,74.0,202203110100,135.5,55
51,0.0,73.0,73.0,202203110200,136.25,54
52,0.0,75.0,75.0,202203110300,155.0,48
53,0.0,77.5,77.5,202203110400,184.25,42
54,0.0,78.0,78.0,202203110500,186.5,42
55,13.75,77.0,90.75,202203110600,193.5,47
56,59.0,76.0,135.0,202203110700,197.75,68
57,109.25,75.0,184.25,202203110800,205.5,90
58,149.25,72.25,221.5,202203110900,203.25,109
59,173.5,72.75,246.25,202203111000,198.25,124
60,183.25,77.0,260.25,202203111100,198.25,131
61,169.0,80.0,249.0,202203111200,205.25,121
62,134.25,78.0,212.25,202203111300,210.75,101
63,96.25,79.0,175.25,202203111400,218.5,80
64,63.0,80.0,143.0,202203111500,213.0,67
65,25.75,79.0,104.75,202203111600,197.0,53
66,2.25,77.0,79.25,202203111700,190.25,42
67,0.0,77.75,77.75,202203111800,190.25,41
68,0.0,80.75,80.75,202203111900,201.5,40
69,0.0,81.0,81.0,202203112000,140.5,58
70,0.0,78.0,78.0,202203112100,119.75,65
71,0.0,71.5,71.5,202203112200,110.0,65
72,0.0,74.0,74.0,202203112300,105.5,70
73,0.0,68.75,68.75,202203120000,101.5,68
74,0.0,63.25,63.25,202203120100,107.25,59
75,0.0,54.75,54.75,202203120200,99.5,55
76,0.0,46.75,46.75,202203120300,103.0,45
77,0.0,42.0,42.0,202203120400,154.25,27
78,0.0,38.75,38.75,202203120500,163.5,24
79,8.0,35.25,43.25,202203120600,182.5,24
80,33.5,32.5,66.0,202203120700,165.75,40
81,61.25,27.5,88.75,202203120800,158.25,56
82,85.5,21.75,107.25,202203120900,146.75,73
83,109.0,18.0,127.0,202203121000,154.25,82
84,101.5,17.0,118.5,202203121100,154.75,77
85,78.75,19.0,97.75,202203121200,159.75,61
86,74.0,22.75,96.75,202203121300,156.25,62
87,66.25,26.0,92.25,202203121400,158.75,58
88,50.25,27.5,77.75,202203121500,160.25,49
89,21.25,28.5,49.75,202203121600,171.25,29
90,2.0,33.0,35.0,202203121700,167.25,21
91,0.0,37.0,37.0,202203121800,152.75,24
92,0.0,37.25,37.25,202203121900,152.5,24
93,0.0,38.5,38.5,202203122000,101.25,38
94,0.0,41.5,41.5,202203122100,94.5,44
95,0.0,43.0,43.0,202203122200,84.75,51
96,0.0,40.25,40.25,202203122300,80.75,50
97,0.0,42.75,42.75,202203130000,79.25,54
